"","X","Coauthor","Paper","Journal","AuthorID","PaperNO","PaperID","Author"
"1",1,"SLee InKyuPark SangWookLee","Shape-Adaptive -D Mesh Simplification Based on Local Optimality Measurement ","Pacific Conference Computer Graphics and Applications",10,10,1,"SLee"
"2",2,"SLee Dong GyuSim Ihn CheolKim Rae HongPark Rin ChulKim","Integrated Position Estimation Using Aerial Image Sequences ","IEEE Transactions Pattern Analysis and Machine Intelligence",10,11,2,"SLee"
"3",3,"SLee InKyuPark KyoungMuLee","Models and algorithms for efficient multiresolution topology estimation of measured -D range data ","IEEE Transactions Systems Man and Cybernetics Part B",10,12,3,"SLee"
"4",4,"SLee IlDongYun InKyuPark","A Color Normalization Algorithm for Image Indexing ","ACCV Asian Conference Computer Vision",10,13,4,"SLee"
"5",5,"SLee Chang SuKim SeungHwanKim","Efficient Motion Compensation Algorithm Based on Second-Order Prediction ","ICIP International Conference Image Processing",10,14,5,"SLee"
"6",6,"SLee Chang SuKim Rin ChulKim","Robust Transmission of Video Over Noisy Channel Using Parity Motion Vector ","ICIP International Conference Image Processing",10,15,6,"SLee"
"7",7,"SLee Dong GyuSim Ihn CheolKim Rae HongPark Rin ChulKim","Integrated Position Estimation Using Aerial Image Sequences ","IEEE Transactions Pattern Analysis and Machine Intelligence",10,16,7,"SLee"
"8",8,"SLee ByeongHwanJeon KyungMuLee","Rotation Invariant Face Detection using a Model-Based Clustering Algorithm ","IEEE International Conference Multimedia and Expo II",10,17,8,"SLee"
"9",9,"SLee ChoonSooPark JongchulYe","Lost Motion Vector Recovery Algorithm ","ISCAS IEEE International Symposium Circuits and Systems",10,18,9,"SLee"
"10",10,"SLee YongKwanKim"," -D Subband Video Coding Technique Using Adaptive Wavelet Packet Bases ","ISCAS IEEE International Symposium Circuits and Systems",10,19,10,"SLee"
"11",11,"SLee KihoKim NamIkCho","Design of FIR filter over a discrete coefficient space with applications to HDTV signal processing ","ISCAS IEEE International Symposium Circuits and Systems",10,20,11,"SLee"
"12",12,"SLee NamIkCho YoonGiYang","On the performance analysis of the subband adaptive digital filter ","ISCAS IEEE International Symposium Circuits and Systems",10,21,12,"SLee"
"13",13,"SLee InKyuPark KyoungMuLee","Perceptual Grouping of -D Features in Aerial Image Using Decision Tree Classifier ","ICIP International Conference Image Processing",10,1,13,"SLee"
"14",14,"SLee InKyuPark","Geometric Modeling from Scattered -D Range Data ","ICIP International Conference Image Processing",10,2,14,"SLee"
"15",15,"SLee JaSeongKu KyoungMuLee","Multi-Image Matching for a General Motion Stereo Camera Model ","ICIP International Conference Image Processing",10,3,15,"SLee"
"16",16,"SLee EunjinJung IlDongYun","Recovery of -D Shape using Hybrid Reflectance Model ","ICIP International Conference Image Processing",10,4,16,"SLee"
"17",17,"SLee HeeSooYang","Split-and-Merge Segmentation Employing Thresholding Technique ","ICIP International Conference Image Processing",10,5,17,"SLee"
"18",18,"SLee Chang SuKim Rin ChulKim","Robust Transmission of Video Over Noisy Channel Using Parity Motion Vector ","ICIP International Conference Image Processing",10,6,18,"SLee"
"19",19,"SLee IlDongYun JeongHeeKim","Unsupervised Segmentation of Textured Image using Markov Random Field in Random Spatial Interaction ","ICIP International Conference Image Processing",10,7,19,"SLee"
