"","X","Coauthor","Paper","Journal","AuthorID","PaperNO","PaperID","Author"
"1",1,"Yu ChinHsu BassamTabbara Yirng AnChen FurshingTsai"," Advanced Techniques for RTL Debugging "," th Design Automation Conference",10,20,1,"YChen"
"2",2,"Chien PangLu Wen ChienLiu Yirng AnChen"," High Probability High Density State Traversal "," IEEE th International Workshop Logic Synthesis",10,21,2,"YChen"
"3",3,"YChen BassamTabbara FurshingTsai Yu ChinHsu","Advanced techniques for RTL debugging ","DAC Design Automation Conference",10,22,3,"YChen"
"4",4,"YChen BwolenYang DavidRO Hallaron RandalEBryant","Space- and Time-Efficient BDD Construction via Working Set Control ","ASP DAC Design Automation Conference",10,23,4,"YChen"
"5",5,"YChen RandalEBryant","ACV: an arithmetic circuit verifier ","ICCAD International Conference Computer Aided Design",10,1,5,"YChen"
"6",6,"RandalEBryant Yirng AnChen"," Verification of Arithmetic Circuits Binary Moment Diagrams "," Design Automation Conference",10,2,6,"YChen"
"7",7,"YChen RandalEBryant","Verification of Arithmetic Circuits with Binary Moment Diagrams ","DAC Design Automation Conference",10,3,7,"YChen"
"8",8,"Yirng AnChen RandalEBryant"," Verification of Floating Point Adders "," Proceeding of th International Conference of Computer Aided Verification",10,10,8,"YChen"
"9",9,"RandalEBryant Yirng AnChen"," Verification of Arithmetic Circuits Using Binary Moment Diagrams, "," International Journal Software Tools for Technology Transfer",10,4,9,"YChen"
"10",10,"Yirng AnChen P HHo EClark TKam YHoskote JO Leary MKhaira"," Verification of all circuits in a floating-point unit using word-level model checking "," Proceedings of Formal Methods Computer Aid Design",10,11,10,"YChen"
"11",11,"RandalEBryant Yirng AnChen"," Verification of Arithmetic Functions Binary Moment Diagrams "," Tech Report CMU CS School of Computer Science Carnegie Mellon University",10,5,11,"YChen"
"12",12,"Yirng AnChen Fang SungChen"," Algorithms for Compacting Error Traces "," Proceeding of Asian Pacific Design Automation Conference ASPDAC",10,12,12,"YChen"
"13",13,"YChen RandalEBryant","PHDD: an efficient graph representation for floating point circuit verification ","ICCAD International Conference Computer Aided Design",10,6,13,"YChen"
"14",14,"Jiunn ChernChen Yirng AnChen"," Equivalence Checking of Integer Multipliers "," Proceeding of Asian Pacific Design Automation Conference ASPDAC",10,13,14,"YChen"
"15",15,"YChen Long WenChang Youn LongLin","A Systolic Algorithm for the k-Nearest Neighbors Problem ","IEEE Trans Computers",10,7,15,"YChen"
"16",16,"Yirng AnChen RandalEBryant"," An Efficient Graph Representation for Arithmetic Circuit Verification "," IEEE Transactions Computer Aided Design of Integrated Circuits and Systems",10,14,16,"YChen"
"17",17,"Yirng AnChen BwolenYang RandalEBryant"," Breadth-First Depth-First BDD Construction: A Hybrid Approach "," Tech Report CMU CS School of Computer Science Carnegie Mellon University",10,8,17,"YChen"
"18",18,"Yirng AnChen Young LongLin","A New Global Router for ASIC Design Based on Simulated Evolution,","Proceedings of International Symposium VLSI Very Large Scale Integration Technology Systems and Applications",10,15,18,"YChen"
"19",19,"Yirng AnChen RandalEBryant"," ACV: An Arithmetic Circuit Verifier "," Proceedings of International Conference of Computer Aid Design",10,9,19,"YChen"
"20",20,"Yirng AnChen RandalEBryant"," *PBHD: An Efficient Graph Representation for Floating Point Circuit Verification "," Tech Report CMU CS School of Computer Science Carnegie Mellon University",10,16,20,"YChen"
"21",21,"Yirng AnChen RandalEBryant"," *PHDD: An Efficient Graph Representation for Floating Point Circuit Verifica tion ","Proceedings of International Conference of Computer Aid Design",10,17,21,"YChen"
"22",22,"Yirng AnChen Young LongLin Long WenChang"," A Systolic Algorithm for the K-Nearest Neighbors Problem "," IEEE Tran Computers",10,18,22,"YChen"
"23",23,"YChen EdmundMClarke JohnWO Leary ManpreetKhaira Pei HsinHo TimothyKam XudongZhao YatinVasantHoskote","Verification of All Circuits in a Floating-Point Unit Using Word-Level Model Checking ","FMCAD Formal Methods Computer Aided Design",10,19,23,"YChen"
"24",24,"NoelMendoza Yen WeiChen ZenshoNakao TatsuhiroAdachi"," A hybrid optimization method using real-coded multi-parent EA, simplex and simulated annealing with applications in the resolution of overlapped signals, ","Applied Soft Computing",11,73,24,"YChen"
"25",25,"YChen NoelMendoza Y WChen ZNakao","A hybrid optimization method using real-coded multi-parent EA, simplex and simulated annealing with applications in the resolution of overlapped signals","Proc of IEEE International Conference Industrial Electronis Control and Instrumentation Nagoya",11,74,25,"YChen"
"26",26,"NoelMendoza Yen WeiChen Jeng ShyangPan","A systematic SC-based methodology for super-resolution of video sequences","Proc of th Int Conf Neural Information Processing Shanghai",11,75,26,"YChen"
"27",27,"YChen TMiyagi ZNakao Y WChen"," A Study on Adaptive Complex Systems under some simple conditions"," Methodologies for the Conception Design and Application of Soft Computing Eds T Yamakawa and G Matsumoto World Scientific",11,76,27,"YChen"
"28",28,"ShinyaNozaki ZenshoNakao Yen WeiChen","A CT reconstruction based on principal component analysis","Proc of th Int Conf Neural Information Processing Shanghai",11,100,28,"YChen"
"29",29,"YChen NMiyanaga Y WChenetal","gHigh-resolution Penumbral Imaging","Radiation C Japanese",11,77,29,"YChen"
"30",30,"ShinyaNozaki TetsuyaKohatsu Yen WeiChen ZenshoNakao","A Fourier series-based method of CT image reconstruction","Proc of Int Tech Conf Circuits Systems Computers and Communications Tokushima",11,101,30,"YChen"
"31",31,"HiroakiMonma Yen WeiChen ZenshoNakao","Computed tomography based on a self-organizing neural network","Proc of IEEE Int Conf Systems Man and Cybernetics Tokyo W",11,78,31,"YChen"
