"","X","Coauthor","Paper","Journal","AuthorID","PaperNO","PaperID","Author"
"1",1,"MMiller LisaHBerg","Bringing electronic mail to the masses phase I: Eudora ","SIGUCCS Special Interest Group University and Computing Services",10,1,1,"MMiller"
"2",2,"MMiller ","World Wide Web development at Notre Dame: it's easier to ask forgiveness than permission ","SIGUCCS Special Interest Group University and Computing Services",10,2,2,"MMiller"
"3",3,"MMiller ","Managing Macs made painless: leveraging the right tools for the job ","SIGUCCS Special Interest Group University and Computing Services",10,3,3,"MMiller"
"4",4,"MMiller BerndHamann CarolLHunter CharlesDHansen MichaelCox RogerCrawfis","Terascale visualization: approaches, pitfalls and issues panel ","IEEE Visualization",11,1,4,"MMiller"
"5",5,"MMiller BerndHamann JFritzBarnes WilliamCWynn","Multiresolution and Adaptive Rendering Techniques for Structured, Curvilinear Data ","Scientific Visualization",11,2,5,"MMiller"
"6",6,"MMiller LJayWantz","Educational Metadata in Use ","Computer Networks",12,1,6,"MMiller"
"7",7,"MMiller LJayWantz","COOL Links: Ride the Wave ","Computer Networks",12,2,7,"MMiller"
"8",8,"MMiller JRyan XSlamin","Integral sum numbers of cocktail party graphs and symmetric complete bipartite graphs,","Bulletin of ICA",1,103,8,"MMiller"
"9",9,"MBaca JAMacDougall MMiller XSlamin WDWallis","A survey of certain valuations of graphs,","Discussiones Mathematicae Graph Theory",1,16,9,"MMiller"
"10",10,"MMiller XSlamin","On the monotonicity of minimum diameter with respect to order and maximum out-degree,","Proceedings of COCOON Computing and Combinatorics Sydney Lecture Notes Computer Science D Z Du P Eades V Estivill Castro X Lin eds",1,104,10,"MMiller"
"11",11,"ETBaskoro MMiller JSiran MSutton","Complete characterisation of almost Moore digraphs of degree three,","Journal of Graph Theory",1,17,11,"MMiller"
"12",12,"MMiller MBaca","Antimagic valuations of generalized Petersen graphs,","Australasian Journal of Combinatorics",1,105,12,"MMiller"
"13",13,"LBrankovic PHorak MMiller GWrightson","Usability of compromise-free statistical databases,","Proceedings of the Ninth International Conference Scientific and Statistical Database Management",1,50,13,"MMiller"
"14",14,"ETBaskoro MMiller JPlesnik SZnam","Digraphs of degree close to Moore bound,","J Graph Theory",1,18,14,"MMiller"
"15",15,"MMiller MBaca YLin","On two conjectures concerning a,d -antimagic labeling of antiprisms,","JCMCC",1,106,15,"MMiller"
"16",16,"LBrankovic MMiller JSiran","Usability of k-commpromise-free statistical databases,","Proceedings of AWOCA Hunter Valley",1,51,16,"MMiller"
"17",17,"ETBaskoro MMiller JPlesnik","Further results on almost Moore digraphs,","Ars Combinatoria",1,19,17,"MMiller"
"18",18,"MMiller","Open problems in graph theory: Labelings and extremal graphs, Plenary Address in Combinatorics, Prosiding Komperensi Nasional X Matematika,","ITB Bandung Jurnal MIHMI",1,107,18,"MMiller"
"19",19,"LBrankovic MMiller","Spectrum of premature partial latin squares,","Proceedings of AWOCA Perth",1,52,19,"MMiller"
"20",20,"MSutton MMiller","On the sum number of wheels,","Discrete Mathematics",1,140,20,"MMiller"
"21",21,"MMiller JRyan XSlamin KSugeng MTuga","Open problems in exclusive sum graph labeling,","Proceedings of the Fourteenth Australasian Workshop Combinatorial Algorithms Seoul Korea",1,108,21,"MMiller"
"22",22,"LBrankovic MMiller JCooper","Utilising secret sharing for access to medical databases,","HICS Conference Adelaide",1,53,22,"MMiller"
"23",23,"MSutton MMiller JRyan XSlamin","Open problems in mod sum graphs,","Proceedings of AWOCA",1,141,23,"MMiller"
"24",24,"MMiller IRoberts JSimpson","Application of symmetric chains to an optimization problem in the security of statistical databases,","Bulletin of ICA Volume",1,109,24,"MMiller"
"25",25,"LBrankovic MMiller JSiran","Towards a practical auditing method for the prevention of statistical database compromise,","Seventh Australasian Database Conference Proceedings Australian Computer Science Communications",1,54,25,"MMiller"
"26",26,"MSutton MMiller","Using graph labellings to store linkages in relational databases,","Proceedings of AWOCA Hunter Valley",1,142,26,"MMiller"
"27",27,"EChang CColman WEe MMiller","Comparison of Industry-Sited Projects and University-Sited Projects for Final Year Students,"," International Conference Software Engineering Research and Practice SERP Las Vegas",1,55,27,"MMiller"
"28",28,"WDWallis ETBaskoro MMiller XSlamin","Edge-magic total labelings,","Australasian Journal of Combinatorics",1,143,28,"MMiller"
"29",29,"MMiller CatherineColman ElizabethChang WanEe","Comparison of Industry-Sited Projects and University-Sited Projects for Final Year Students ","Software Engineering Research and Practice",1,56,29,"MMiller"
"30",30,"MMiller GrahamWrightson LjiljanaBrankovic PeterNorak","Usability of Compromise-Free Statistical Databases","SSDBM Statistical and Scientific Database Management",1,144,30,"MMiller"
"31",31,"EDahlhaus PManuel MMiller","A characterisation of strongly chordal graphs,","Discrete Mathematics",1,57,31,"MMiller"
"32",32,"JAMacDougall MMiller XSlamin WDWallis","Vertex-magic total labelings of graphs,","Utilitas Math",1,90,32,"MMiller"
"33",33,"EDahlhaus MMiller JRyan","Komplexitat von Eisenbahnrangierproblemen,","Kolloquium uber Kombinatorik Braunschweig",1,58,33,"MMiller"
"34",34,"JAMacDougall MMiller WWallis","Vertex-magic total labelings of wheels and related graphs,","Utilitas Math",1,91,34,"MMiller"
