"","X","Coauthor","Paper","Journal","AuthorID","PaperNO","PaperID","Author"
"1",1,"AGupta BjornKvande IrwinBLevinstein KurtMaly MargretheHOlson RaviMukkamala RitaChambers RoyWhitney SNanjangud","PMES: privilege mangagement and enforcement system for secure distributed resource sharing ","IFIP International Federation for Information Processing World Conference IT Tools",10,1,1,"AGupta"
"2",2,"AGupta CSVemuru HSyed HusseinMAbdel Wahab KurtMaly MohamedKholief RaviMukkamala SDittakavi","CoProcess: A Java-based Environment for Collaborative Process Management Over the Web ","WebNet",10,2,2,"AGupta"
"3",3,"AGupta BjornKvande IrwinBLevinstein KurtMaly MargretheHOlson RaviMukkamala RitaChambers RoyWhitney SNanjangud","A privilege management and enforcement system for distributed resource sharing ","WETICE Workshop Enabling Technologies Infrastructure for Collaborative Enterprises",10,3,3,"AGupta"
"4",4,"AGupta AlaaYoussef CMichaelOverstreet EmiliaStoica HusseinMAbdel Wahab JChristianWild KurtMary","The software architecture and interprocess communications of IRI: an Internet-based interactive distance learning system ","WETICE Workshop Enabling Technologies Infrastructure for Collaborative Enterprises",10,4,4,"AGupta"
"5",5,"AGupta APrabhu CSVemuru HSyed HusseinMAbdel Wahab KurtMaly RaviMukkamala","Mosaic + XTV = CoReview ","Computer Networks and ISDN Systems",10,5,5,"AGupta"
"6",6,"AGupta AGonzalez AymanAdelAbdelHamid CMichaelOverstreet HusseinMAbdel Wahab JChristianWild KurtMaly SaharGhanem XiaoqingZhu","IRI-h, a Java-based distance education system ","ACM Journal of Educational Resources Computing",10,6,6,"AGupta"
"7",7,"AGupta KurtMaly SatishMynam","BTU: A Host Communication Benchmark ","IEEE Computer",10,7,7,"AGupta"
"8",8,"AGupta AlaaYoussef CMichaelOverstreet EhabSAl Shaer EmiliaStoica HusseinMAbdel Wahab JChristianWild KurtMaly","Interactive Distance Learning over Intranets ","IEEE Internet Computing",10,8,8,"AGupta"
"9",9,"AGupta CMichaelOverstreet HusseinMAbdel Wahab KurtMaly MuthuKumar RahulSrivastava","Performance trade-offs for a multimedia distributed application ","HPN High Performance Networking",10,9,9,"AGupta"
"10",10,"AGupta MarkMoran RiccardoBettati RolfOppliger","A Security Architecture for Tenet Scheme ","IDMS Interactive Distributed Multimedia Systems and Telecommunication Services",11,1,10,"AGupta"
"11",11,"AGupta RiccardoBettati","Dynamic Resource Allocation Migration for Multiparty Real-Time Communications ","ICDCS International Conference Distributed Computing Systems",11,2,11,"AGupta"
"12",12,"AGupta DomenicoFerrari MarkMoran QuyenNguyen RajendraYavatkar RiccardoBettati WHeffner WingwaiHowe","Connection Establishment for Multi-Party Real-Time Communication ","NOSSDAV Network and Operating System Support for Digital Audio and Video",11,3,12,"AGupta"
"13",13,"AGupta DomenicoFerrari GiorgioVentre","Distributed Advance Reservation of Real-Time Connections ","NOSSDAV Network and Operating System Support for Digital Audio and Video",11,4,13,"AGupta"
"14",14,"AGupta MarkMoran QuyenNguyen WingwaiHowe","Resource Sharing for Multi-Party Real-Time Communication ","INFOCOM The Conference Computer Communications",11,5,14,"AGupta"
"15",15,"AGupta DomenicoFerrari GiorgioVentre","Distributed Advance Reservation of Real-Time Connections ","Multimedia Syst",11,6,15,"AGupta"
"16",16,"AGupta DomenicoFerrari","Resource partitioning for real-time communication ","IEEE ACM Trans Netw",11,7,16,"AGupta"
"17",17,"AGupta KurtRothermel","Failure Recovery for Multi-Party Real-Time Communication ","ICMCS International Conference Multimedia Computing and Systems",11,8,17,"AGupta"
"18",18,"SGhosh AGupta SVPemmaraju","A self-stabilizing algorithm for the maximum flow problem,"," th Annual IEEE International Conference Computers and Communication",12,20,18,"AGupta"
"19",19,"AGupta CMazumdar","PMM: A parallel architecture for production systems,","ACM Southeastcon",12,21,19,"AGupta"
"20",20,"AGupta CMazumdar","A partially shared parallel Rete network for faster execution of production systems,","Froniters of Knowledge Based Computing Vijay P Bhatkar and Kiran M Rege ed Narosa Publishing House",12,22,20,"AGupta"
"21",21,"NGururaj AGupta","A simulator for distributed self-stabilizing algorithms,","ADCOM International Conference Advanced Computing and Communication Bhubaneswar",12,23,21,"AGupta"
"22",22,"MEKortright AGupta RBorie","Fast parallel algorithms for the balanced decomposition of series-parallel graphs,","Congressus Numerantium",12,24,22,"AGupta"
"23",23,"VMadhu PSinghal AGupta","Design and implementation of a Linux-based IPv -IPv Bridge,","CIT Bhubaneswar",12,25,23,"AGupta"
"24",24,"AGupta AnimeshNandi","Estimating Link Characteristics of Internet Paths With FPathchar ","International Conference Internet Computing",12,26,24,"AGupta"
"25",25,"HSPaul AGupta RBadrinath","Combining diverse checkpoint and recovery algorithms for distributed systems,"," rd International Workshop Distributed Computing Calcutta",12,27,25,"AGupta"
"26",26,"HSPaul AGupta RBadrinath","Hierarchical coordinated checkpointing algorithms,","PDCS Parallel and Distributed Computing Systems IASTED International Conference Parallel and Distributed Computing and Systems",12,28,26,"AGupta"
"27",27,"HSPaul AGupta RBadrinath","A heterogeneous checkpoint and recovery protocol,","PDPTA Parallel and Distributed Processing Techniques and Applications International Conference Parallel and Distributd Processing Techniques and Applications Las Vegas",12,29,27,"AGupta"
"28",28,"SBanerjee AGupta ABasu","Online transcoding of web pages for mobile devices,","HCI Human Computer Interaction Udine",12,1,28,"AGupta"
"29",29,"AGupta AnupamBasu UmeshDeshpande","Adaptive Fault Tolerant Hospital Resource Scheduling ","CoopIS DOA International Symposium Distributed Objects and Applications ODBASE International Conference Ontologies Databases and Applications of SEmantics",12,2,29,"AGupta"
"30",30,"AGupta AnupamBasu SomnathBanerjee","Online Transcoding of Web Pages for Mobile Devices ","HCI Human Computer Interaction",12,3,30,"AGupta"
"31",31,"ABasu AGupta","Intellegent mobile agent based framework for resource discovery and transcoding,","Intelligent Computing and VLSI Very Large Scale Integration Allied Publishers",12,4,31,"AGupta"
"32",32,"RBorie AGupta","Balanced decomposition for partial-k trees,","Congressus Numerantium",12,5,32,"AGupta"
"33",33,"UDeshpande AGupta ABasu","Coordinated problem solving through resource sharing in a distributed environment,"," IEEE Transactions Systems Man and Cybernatics",12,6,33,"AGupta"
