"","X","Coauthor","Paper","Journal","AuthorID","PaperNO","PaperID","Author"
"1",1,"JLee TosiyasuLKunii","Visual Translation: From Native Language to Sign Language ","VL Visual Languages",100,1,1,"JLee"
"2",2,"JLee ","Notational Representation of Sign Language: A Structural Description of Hand Configuration ","ICCHP International Conference Computers for Handicapped Persons",100,2,2,"JLee"
"3",3,"YanSolihin JaejinLee JosepTorrellas","Memory-Side Correlation Prefetching Using a General-Purpose Core in Memory"," the th Annual International Symposium Computer Architecture ISCA International Symposium Computer Architecture",10,20,3,"JLee"
"4",4,"YanSolihin JaejinLee JosepTorrellas","Prefetching in an Intelligent Memory Architecture Using a Helper Thread,","Proceedings of Workshop Multithreaded Execution Architecture and Compilation MTEAC",10,21,4,"JLee"
"5",5,"YanSolihin JaejinLee JosepTorrellas","Automatic Code Mapping on an Intelligent Memory Architecture"," An extended version of IEEE Transactions Computers Special Issue Advances High Performance Memory Systems",10,22,5,"JLee"
"6",6,"JLee JosepTorrellas YanSolihin","Correlation Prefetching with a User-Level Memory Thread ","IEEE Trans Parallel Distrib Syst",10,23,6,"JLee"
"7",7,"JLee JosepTorrellas YanSolihin","Adaptively Mapping Code in an Intelligent Memory Architecture ","Intelligent Memory Systems",10,24,7,"JLee"
"8",8,"JLee JosepTorrellas YanSolihin","Automatic Code Mapping on an Intelligent Memory Architecture ","IEEE Trans Computers",10,25,8,"JLee"
"9",9,"JLee JosepTorrellas YanSolihin","Automatically Mapping Code on an Intelligent Memory Architecture ","HPCA International Symposium High Performance Computer Architecture",10,26,9,"JLee"
"10",10,"JLee Chi LeungWong DavidAPadua SamuelPMidkiff XingFang ZehraSura","The Pensieve Project: A Compiler Infrastructure for Memory Models ","ISPAN",10,27,10,"JLee"
"11",11,"JLee AncaBrowne ArjunKapur EdwardYChang HarishDevarajan HennySipma LucadeAlfaro MichaelCol oacute n NikolajBj oslash rner Tom aacute sEUribe ZoharManna","STeP: The Stanford Temporal Prover ","TAPSOFT",10,1,11,"JLee"
"12",12,"JaejinLee DavidAPadua SamuelPMidkiff","Basic Compiler Algorithms for Explicitly Parallel Programs"," An extended version of to ACM Transactions Programming Languages and Systems",10,2,12,"JLee"
"13",13,"JaejinLee DavidAPadua SamuelPMidkiff","Basic Compiler Algorithms for Parallel Programs"," Proceedings of the th ACM SIGPLAN Special Interest Group Programming Languages Symposium Principles and Practice of Parallel Programming PPoPP",10,3,13,"JLee"
"14",14,"JaejinLee YanSolihin JosepTorrellas","Automatically Mapping Code on an Intelligent Memory Architecture"," Proceedings of the th International Symposium High Performance Computer Architecture HPCA International Symposium High Performance Computer Architecture",10,10,14,"JLee"
"15",15,"JaejinLee","Compilation Techniques for Explicitly Parallel Programs"," Ph D Thesis Technical Report UIUCDCS R Department of Computer Science University of at",10,4,15,"JLee"
"16",16,"SamuelPMidkiff JaejinLee DavidAPadua"," A Compiler for Multiple Memory Models ;","The th Workshop Compilers for Parallel Computers CPC",10,11,16,"JLee"
"17",17,"JaejinLee SamuelPMidkiff DavidAPadua","Concurrent Static Single Assignment Form and Constant Propagation for Explicitly Parallel Programs"," Proceedings of the th International Workshop Languages and Compilers for Parallel Computing LCPC Languages and Compilers for Parallel Computing Lecture Notes Computer Science Springer Twin Cities",10,5,17,"JLee"
"18",18,"JLee DavidAPadua SamuelPMidkiff","Basic Compiler Algorithms for Parallel Programs ","PPOPP Principles Practice of Parallel Programming",10,12,18,"JLee"
"19",19,"JaejinLee SamuelPMidkiff DavidAPadua","A Constant Propagation Algorithm for Explicitly Parallel Programs"," International Journal of Parallel Programming",10,6,19,"JLee"
"20",20,"JLee DavidAPadua SamuelPMidkiff","Concurrent Static Single Assignment Form and Constant Propagation for Explicitly Parallel Programs ","LCPC Languages and Compilers for Parallel Computing",10,13,20,"JLee"
"21",21,"JaejinLee DavidAPadua","Hiding Relaxed Memory Consistency with a Compiler"," An extended version of IEEE Transactions Computers Special Issue Parallel Architectures and Compilation Techniques",10,7,21,"JLee"
"22",22,"JLee DavidAPadua SamuelPMidkiff","A Constant Propagation Algorithm for Explicitly Parallel Programs ","International Journal of Parallel Programming",10,14,22,"JLee"
"23",23,"JaejinLee","Hiding the Java Memory Model with Compilers"," Technical Report MSU CSE Presented the OOPSLA Conference Object Oriented Programming Systems Languages and Applications workshop Revising the Java Thread Specification Department of Computer Science and Engineering State University",10,8,23,"JLee"
"24",24,"JLee DavidAPadua","Hiding Relaxed Memory Consistency with Compilers ","IEEE PACT Parallel Computing Technologies",10,15,24,"JLee"
"25",25,"JaejinLee DavidAPadua","Parallel Static Single Assignment Form and Constant Propagation for Explicitly Parallel Programs"," Proceedings of the HPCA International Symposium High Performance Computer Architecture Workshop Interaction between Compilers and Computer Architectures San Antonio",10,9,25,"JLee"
"26",26,"JLee DavidAPadua","Hiding Relaxed Memory Consistency with a Compiler ","IEEE Trans Computers",10,16,26,"JLee"
"27",27,"JLee DavidAPadua JayHoeflinger JohnGrout LawrenceRauchwerger PengTu RamonDoallo RudolfEigenmann ThomasLawrence WilliamBlume WilliamMPottenger YunheungPaek","Parallel Programming with Polaris ","IEEE Computer",10,17,27,"JLee"
"28",28,"JLee DavidAPadua JayHoeflinger JohnGrout KeithFaigin LawrenceRauchwerger PaulPetersen PengTu RudolfEigenmann StephenWeatherford ThomasLawrence WilliamBlume WilliamMPottenger YunheungPaek","Restructuring Programs for High-Speed Computers with Polaris ","ICPP International Conference Parallel Processing Workshop",10,18,28,"JLee"
"29",29,"YanSolihin JaejinLee JosepTorrellas","Adaptively Mapping Code in an Intelligent Memory Architecture"," Proceedings of the Workshop Intelligent Memory Systems",10,19,29,"JLee"
"30",30,"JLee ","Desiderata in Agent Architectures for Coordinating Multi-Agent Systems ","PRIMA International Workshop Multi Agents",11,1,30,"JLee"
"31",31,"JLee ","Reactive-System Approaches to Agent Architectures ","ATAL Agent Theories Architectures and Languages",11,2,31,"JLee"
"32",32,"JLee EdmundHDurfee VictorRLesser DanielDCorkill","Cooperative Distributed Problem Solving,","A Barr P Cohen and E Feigenbaum Wesley",11,3,32,"JLee"
"33",33,"JLee EdmundHDurfee VictorRLesser DanielDCorkill","Distributed Problem Solving,","S Shapiro ed Encyclopedia of Artificial Intelligence second edition Wiley",11,4,33,"JLee"
"34",34,"JLee EdmundHDurfee JeffreySRosenschein","Distributed Problem Solving and Multi-Agent Systems: Comparisons and Examples ","Proceedings of the Thirteenth International Distributed Artificial Intelligence Workshop pages",11,5,34,"JLee"
