,Coauthor,Paper,Journal,AuthorID,PaperNO,PaperID,Author
1,M Miller; Lisa H Berg,Bringing electronic mail to the masses phase I: Eudora ,SIGUCCS Special Interest Group University and Computing Services,10,1,1,MMiller
2,M Miller; ,World Wide Web development at Notre Dame: it's easier to ask forgiveness than permission ,SIGUCCS Special Interest Group University and Computing Services,10,2,2,MMiller
3,M Miller; ,Managing Macs made painless: leveraging the right tools for the job ,SIGUCCS Special Interest Group University and Computing Services,10,3,3,MMiller
4,M Miller; Bernd Hamann ; Carol L Hunter ; Charles D Hansen ; Michael Cox ; Roger Crawfis,"Terascale visualization: approaches, pitfalls and issues panel ",IEEE Visualization,11,1,4,MMiller
5,M Miller; Bernd Hamann ; J Fritz Barnes ; William C Wynn,"Multiresolution and Adaptive Rendering Techniques for Structured, Curvilinear Data ",Scientific Visualization,11,2,5,MMiller
6,M Miller; L Jay Wantz,Educational Metadata in Use ,Computer Networks,12,1,6,MMiller
7,M Miller; L Jay Wantz,COOL Links: Ride the Wave ,Computer Networks,12,2,7,MMiller
8,M Miller;J Ryan;X Slamin,"Integral sum numbers of cocktail party graphs and symmetric complete bipartite graphs,",Bulletin of ICA,1,103,8,MMiller
9,M Baca;J A MacDougall;M Miller;X Slamin;W D Wallis,"A survey of certain valuations of graphs,",Discussiones Mathematicae Graph Theory,1,16,9,MMiller
10,M Miller;X Slamin,"On the monotonicity of minimum diameter with respect to order and maximum out-degree,",Proceedings of COCOON Computing and Combinatorics Sydney Lecture Notes Computer Science D Z Du P Eades V Estivill Castro X Lin eds,1,104,10,MMiller
11,E T Baskoro;M Miller;J Siran;M Sutton,"Complete characterisation of almost Moore digraphs of degree three,",Journal of Graph Theory,1,17,11,MMiller
12,M Miller;M Baca,"Antimagic valuations of generalized Petersen graphs,",Australasian Journal of Combinatorics,1,105,12,MMiller
13,L Brankovic;P Horak;M Miller;G Wrightson,"Usability of compromise-free statistical databases,",Proceedings of the Ninth International Conference Scientific and Statistical Database Management,1,50,13,MMiller
14,E T Baskoro;M Miller;J Plesnik;S Znam,"Digraphs of degree close to Moore bound,",J Graph Theory,1,18,14,MMiller
15,M Miller;M Baca;Y Lin,"On two conjectures concerning a,d -antimagic labeling of antiprisms,",JCMCC,1,106,15,MMiller
16,L Brankovic;M Miller;J Siran,"Usability of k-commpromise-free statistical databases,",Proceedings of AWOCA Hunter Valley,1,51,16,MMiller
17,E T Baskoro;M Miller;J Plesnik,"Further results on almost Moore digraphs,",Ars Combinatoria,1,19,17,MMiller
18,M Miller,"Open problems in graph theory: Labelings and extremal graphs, Plenary Address in Combinatorics, Prosiding Komperensi Nasional X Matematika,",ITB Bandung Jurnal MIHMI,1,107,18,MMiller
19,L Brankovic;M Miller,"Spectrum of premature partial latin squares,",Proceedings of AWOCA Perth,1,52,19,MMiller
20,M Sutton;M Miller,"On the sum number of wheels,",Discrete Mathematics,1,140,20,MMiller
21,M Miller;J Ryan;X Slamin;K Sugeng;M Tuga,"Open problems in exclusive sum graph labeling,",Proceedings of the Fourteenth Australasian Workshop Combinatorial Algorithms Seoul Korea,1,108,21,MMiller
22,L Brankovic;M Miller;J Cooper,"Utilising secret sharing for access to medical databases,",HICS Conference Adelaide,1,53,22,MMiller
23,M Sutton;M Miller;J Ryan;X Slamin,"Open problems in mod sum graphs,",Proceedings of AWOCA,1,141,23,MMiller
24,M Miller;I Roberts;J Simpson,"Application of symmetric chains to an optimization problem in the security of statistical databases,",Bulletin of ICA Volume,1,109,24,MMiller
25,L Brankovic;M Miller;J Siran,"Towards a practical auditing method for the prevention of statistical database compromise,",Seventh Australasian Database Conference Proceedings Australian Computer Science Communications,1,54,25,MMiller
26,M Sutton;M Miller,"Using graph labellings to store linkages in relational databases,",Proceedings of AWOCA Hunter Valley,1,142,26,MMiller
27,E Chang;C Colman;W Ee;M Miller,"Comparison of Industry-Sited Projects and University-Sited Projects for Final Year Students,", International Conference Software Engineering Research and Practice SERP Las Vegas,1,55,27,MMiller
28,W D Wallis;E T Baskoro;M Miller;X Slamin,"Edge-magic total labelings,",Australasian Journal of Combinatorics,1,143,28,MMiller
29,M Miller;Catherine Colman ; Elizabeth Chang ; Wan Ee,Comparison of Industry-Sited Projects and University-Sited Projects for Final Year Students ,Software Engineering Research and Practice,1,56,29,MMiller
30,M Miller;Graham Wrightson ; Ljiljana Brankovic ; Peter Norak,Usability of Compromise-Free Statistical Databases,SSDBM Statistical and Scientific Database Management,1,144,30,MMiller
31,E Dahlhaus;P Manuel;M Miller,"A characterisation of strongly chordal graphs,",Discrete Mathematics,1,57,31,MMiller
32,J A MacDougall;M Miller;X Slamin;W D Wallis,"Vertex-magic total labelings of graphs,",Utilitas Math,1,90,32,MMiller
33,E Dahlhaus;M Miller;J Ryan,"Komplexitat von Eisenbahnrangierproblemen,",Kolloquium uber Kombinatorik Braunschweig,1,58,33,MMiller
34,J A MacDougall;M Miller;W Wallis,"Vertex-magic total labelings of wheels and related graphs,",Utilitas Math,1,91,34,MMiller
35,E Dahlhaus;F Manne;M Miller;J Ryan,"Algorithms for combinatorial problems related to train marshalling,",Proceedings of AWOCA Hunter Valley,1,59,35,MMiller
36,B D McKay;M Miller;J Siran,"A note on large graphs of diameter two and given maximum degree,",J Combinatorial Theory,1,92,36,MMiller
37,M Miller;K eds Park,,Proceedings of the Fourteenth Australasian Workshop Combinatorial Algorithms Seoul Korea,1,93,37,MMiller
38,M Miller;H M Nguyen;X Slamin,"Construction techniques for diregular and non-diregular large directed networks,",Proceedings of AWOCA Frazer Island,1,94,38,MMiller
39,M Miller;J Siran,"Digraphs of degree two which miss the Moore bound by two,",Discrete Mathematics,1,95,39,MMiller
40,M Miller;C A Rodger;R Simanjuntak,"Distance magic labelings of graphs,",Australasian J Combin,1,96,40,MMiller
41,M Miller;J Ryan;X Slamin;W F Smyth,"Labelling wheels for minimum sum number,",JCMCC,1,97,41,MMiller
42,M Miller;J Gimbert;J Siran;X Slamin,"Almost Moore digraphs are diregular,",Discrete Mathematics,1,98,42,MMiller
43,M Miller,"A model of statistical database compromise incorporating supplementary knowledge, in Databases in the 's - , ",,1,99,43,MMiller
44,E T Baskoro;P Manuel;M Miller;J Ryan;M Sutton,"Generalized clique covering in circular arc graphs,",Proceedings of AWOCA Darwin,1,20,44,MMiller
45,E T Baskoro;L Brankovic;M Miller;J Plesnik;J Ryan;J Siran,"Large digraphs with small diameter: A voltage assignment approach,",JCMCC,1,21,45,MMiller
46,E Baskoro;X Surahmat;S M Nababan;M Miller,"On Ramsey numbers for trees versus wheels of five or six vertices,",Graphs and Combinatorics,1,22,46,MMiller
47,M Miller;J A MacDougall;X Slamin;W D Wallis,"Problems in magic total labellings,",Proceedings of AWOCA Perth,1,110,47,MMiller
48,E T Baskoro;M Miller,"On the construction of networks with minimum diameter,",Proceedings of the th Australian Computer Science Conference,1,23,48,MMiller
49,M Miller;I Roberts;J Simpson,"Prevention of relative compromise using Audit Expert,",Bulletin of ICA,1,111,49,MMiller
50,E T Baskoro;M Miller;J Plesnik,"On the structure of digraphs with order close to the Moore bound,",Graphs and Combinatorics,1,24,50,MMiller
51,M Miller;J Cooper,"Security considerations for present and future medical databases,",re printed by the IMIA Yearbook of Medical Informatics,1,112,51,MMiller
52,E T Baskoro;M Miller;J Siran,"A note on almost Moore digraphs of degree three,",Acta Mathematica Universitatis Comenianae LXVI,1,25,52,MMiller
53,M Miller;J Cooper,"Security considerations for present and future medical databases,",International Journal of Bio Medical Computing,1,113,53,MMiller
54,E T Baskoro;M Miller,"Open problems in constructing digraphs with minimal diameter,",Proceedings of the th AWOCA Ubud,1,26,54,MMiller
55,M Miller,"Security issues in medical databases,",HIANSW Third Annual Conference Hunter Valley,1,114,55,MMiller
