,Coauthor,Paper,Journal,AuthorID,PaperNO,PaperID,Author
1,S Lee; In Kyu Park ; Sang Wook Lee,Shape-Adaptive -D Mesh Simplification Based on Local Optimality Measurement ,Pacific Conference Computer Graphics and Applications,10,10,1,SLee
2,S Lee; Dong-Gyu Sim ; Ihn-Cheol Kim ; Rae-Hong Park ; Rin-Chul Kim,Integrated Position Estimation Using Aerial Image Sequences ,IEEE Transactions Pattern Analysis and Machine Intelligence,10,11,2,SLee
3,S Lee; In Kyu Park ; Kyoung Mu Lee,Models and algorithms for efficient multiresolution topology estimation of measured -D range data ,IEEE Transactions Systems Man and Cybernetics Part B,10,12,3,SLee
4,S Lee; Il Dong Yun ; In Kyu Park,A Color Normalization Algorithm for Image Indexing ,ACCV Asian Conference Computer Vision,10,13,4,SLee
5,S Lee; Chang-Su Kim ; Seung Hwan Kim,Efficient Motion Compensation Algorithm Based on Second-Order Prediction ,ICIP International Conference Image Processing,10,14,5,SLee
6,S Lee; Chang-Su Kim ; Rin-Chul Kim,Robust Transmission of Video Over Noisy Channel Using Parity Motion Vector ,ICIP International Conference Image Processing,10,15,6,SLee
7,S Lee; Dong-Gyu Sim ; Ihn-Cheol Kim ; Rae-Hong Park ; Rin-Chul Kim,Integrated Position Estimation Using Aerial Image Sequences ,IEEE Transactions Pattern Analysis and Machine Intelligence,10,16,7,SLee
8,S Lee; Byeong Hwan Jeon ; Kyung Mu Lee,Rotation Invariant Face Detection using a Model-Based Clustering Algorithm ,IEEE International Conference Multimedia and Expo II,10,17,8,SLee
9,S Lee; Choon Soo Park ; Jongchul Ye,Lost Motion Vector Recovery Algorithm ,ISCAS IEEE International Symposium Circuits and Systems,10,18,9,SLee
10,S Lee; Yong Kwan Kim, -D Subband Video Coding Technique Using Adaptive Wavelet Packet Bases ,ISCAS IEEE International Symposium Circuits and Systems,10,19,10,SLee
11,S Lee; Kiho Kim ; Nam Ik Cho,Design of FIR filter over a discrete coefficient space with applications to HDTV signal processing ,ISCAS IEEE International Symposium Circuits and Systems,10,20,11,SLee
