,Coauthor,Paper,Journal,AuthorID,PaperNO,PaperID,Author
1,J Robinson; ,Discourse: Codes and Clues in Contexts ,ACL Meeting of the Association for Computational Linguistics,10,1,1,JRobinson
2,J Robinson; ,DIAGRAM: A Grammar for Dialogues ,Cooperative Interfaces to Information Systems,10,2,2,JRobinson
3,J Robinson; ,DIAGRAM: A Grammar for Dialogues ,Commun ACM,10,3,3,JRobinson
4,J Robinson; A Burns,A Dialogue Development System for the Design and Implementation of User Interfaces in Ada ,Comput J,11,1,4,JRobinson
5,J Robinson; A Burns,ADDS - A Dialogue Development System for the Ada Programming Language ,International Journal of Man Machine Studies,11,2,5,JRobinson
6,J Robinson; ,Software Engineering Curriculum Development Model ,CSEE,12,1,6,JRobinson
7,J Robinson; William A Bralick,Using a Multi-User Dialogue System to Support Software Engineering Distance Education ,CSEE,12,2,7,JRobinson
8,J Robinson;H T Kung ,On optimistic methods for concurrency control ,ACM Trans Database Systems,1,32,8,JRobinson
9,J Robinson;Balakrishna R Iyer ; Daniel M Dias ; Douglas W Cornell ; Philip S Yu,Modelling of Centralized Concurrency Control in a Multi-System Environment ,SIGMETRICS Measurement and Modeling of Computer Systems,1,16,9,JRobinson
10,J Robinson;D Dias; B Iyer; ; P Yu ,Integrated concurrency-coherency controls for multi-system data sharing ,IEEE Trans Soft Eng,1,33,10,JRobinson
11,J Robinson;Balakrishna R Iyer ; Daniel M Dias ; Philip S Yu,Integrated Concurrency-Coherency Controls for Multisystem Data Sharing ,IEEE Trans Software Eng,1,17,11,JRobinson
12,J Robinson;V Castelli; L Bergman; I Kontoyiannis; C -S Li;; J Turek ,Progressive search and retrieval in large image archives ,IBM Journal of Res Develop,1,34,12,JRobinson
13,J Robinson;H T Kung,On Optimistic Methods for Concurrency Control ,VLDB Very Large Data Bases,1,18,13,JRobinson
14,J Robinson;P Heidelberger ; A Norton ,Parallel quicksort using fetch-and-add ,IEEE Trans Computers,1,35,14,JRobinson
15,J Robinson;H T Kung,On Optimistic Methods for Concurrency Control ,ACM Trans Database Syst,1,19,15,JRobinson
16,J Robinson,Some analysis techniques for asynchronous multiprocessor algorithms ,IEEE Trans Soft Eng SE,1,36,16,JRobinson
17,J Robinson,Separating policy from correctness in concurrency control design ,Software Practice and Experience,1,37,17,JRobinson
18,J Robinson;Charles O Schulz ; Michael E Wazlowski ; P Maurice Bland ; Peter A Franaszek ; R Brett Tremaine ; T Basil Smith,IBM Memory Expansion Technology MXT ,IBM Journal of Research and Development,1,38,18,JRobinson
19,J Robinson;Joy Thomas ; Peter A Franaszek,Parallel Compression with Cooperative Dictionary Construction ,Data Compression Conference,1,39,19,JRobinson
20,J Robinson;,A Fast General-Purpose Hardware Synchronisation Mechanism ,SIGMOD International Conference Management of Data Conference,1,1,20,JRobinson
21,J Robinson;,Analysis of Steady-State Segment Storage Utilizations in a Log-Structured File System with Least-Utilized Segment Cleaning ,Operating Systems Review,1,2,21,JRobinson
22,J Robinson;,Order Preserving Linear Hashing Using Dynamic Key Statistics ,PODS Symposium Principles of Database Systems,1,3,22,JRobinson
23,J Robinson;,Some Analysis Techniques for Asynchronous Multiprocessor Algorithms ,IEEE Trans Software Eng,1,4,23,JRobinson
24,J Robinson;,Separating Policy from Correctness in Concurrency Control Design ,Softw Pract Exper,1,5,24,JRobinson
25,J Robinson;,The K-D-B-Tree: A Search Structure For Large Multidimensional Dynamic Indexes ,SIGMOD International Conference Management of Data Conference,1,6,25,JRobinson
26,J Robinson;Caroline Benveniste ; Peter A Franaszek,Cache-Memory Interfaces in Compressed Memory Systems ,IEEE Trans Computers,1,7,26,JRobinson
27,J Robinson;Murthy V Devarakonda,Data Cache Management Using Frequency-Based Replacement ,SIGMETRICS Measurement and Modeling of Computer Systems,1,8,27,JRobinson
28,J Robinson;Murthy V Devarakonda,Note on a Problem with Reed and Long's FBR Results ,Operating Systems Review,1,9,28,JRobinson
29,J Robinson;Anil Nigam ; Henry F Korth ; Ravi Krishnamurthy,A Framework for Understanding Distributed Deadlock Detection Algorithms ,PODS Symposium Principles of Database Systems,1,20,29,JRobinson
30,J Robinson;Alan Norton ; Philip Heidelberger,Parallel Quicksort Using Fetch-and-Add ,IEEE Trans Computers,1,21,30,JRobinson
31,J Robinson;Dan E Poff ; Peter A Franaszek ; Philip Heidelberger,Alogrithms and data structures for compressed-memory machines ,IBM Journal of Research and Development,1,22,31,JRobinson
32,J Robinson;R B Tremaine; P A Franaszek; C O Schulz; T B Smith; M E Wazlowski; ; P M Bland ,IBM Memory Expansion Technology MXT ,IBM Journal of Res Develop,1,23,32,JRobinson
33,J Robinson;Alexander Thomasian ; Peter A Franaszek,Access Invariance and Its Use in High Contention Environments ,ICDE International Conference Data Engineering,1,40,33,JRobinson
