,Coauthor,Paper,Journal,AuthorID,PaperNO,PaperID,Author
1,M Jones; Elke A Rundensteiner ; Harumi A Kuno ; Pedro Jos&eacute; Marr&oacute;n ; Viviane Crestana-Taube ; Young-Gook Ra,The MultiView Project: Object-Oriented View Technology and Applications ,SIGMOD International Conference Management of Data Conference,10,1,1,MJones
2,M Jones; Elke A Rundensteiner ; Yun-Wu Huang,Symbolic Intersect Detection: A Method for Improving Spatial Intersect Joins ,GeoInformatica,10,2,2,MJones
3,M Jones; Elke A Rundensteiner ; Yun-Wu Huang,Improving Spatial Intersect Joins Using Symbolic Intersect Detection ,SSD Symposium Large Spatial Databases,10,3,3,MJones
4,M Jones; Elke A Rundensteiner,View Materialization Techniques for Complex Hierarchical Objects ,CIKM International Conference Information and Knowledge Management,10,4,4,MJones
5,M Jones; Chad Berkley ; Daniel Higgins Metacat ; Jivka Bojilova,a Schema-Independent XML Database System ,SSDBM Statistical and Scientific Database Management,11,1,5,MJones
6,M Jones; Chad Berkley ; Daniel Higgins Metacat,Managing Heterogeneous Ecological Data Using Morpho ,SSDBM Statistical and Scientific Database Management,11,2,6,MJones
7,M Jones; Chad Berkley ; Jivka Bojilova ; Mark Schildhauer,Managing Scientific Metadata ,IEEE Internet Computing,11,3,7,MJones
8,M Jones; Sing Bing Kang,Appearance-Based Structure from Motion Using Linear Classes of -D Models ,International Journal of Computer Vision,12,1,8,MJones
9,M Jones; Cecilia Magdalena Procopiuc ; Pankaj K Agarwal ; T M Murali,A Monte Carlo algorithm for fast projective clustering ,SIGMOD International Conference Management of Data Conference,12,2,9,MJones
10,M Jones;,Towards GHDL_EVAL: A Framework for Deeply Embedding Simple HDLs in HOL, Category B of TPHOLs,13,1,10,MJones
11,M Jones;Paul E Black; Kelly M Hall; Michael D Jones; Trent N Larson; Phillip J Windley;,A Brief Introduction to Formal Methods, IEEE Custon Integrated Circuits Conference,13,2,11,MJones
12,M Jones;Annette Bunker ; Michael D Jones ; Trent N Larson;Phillip J Windley;,"Alexandria: Libraries of Abstract, Verified Hardware Modules", Workshop Libraries Component Modeling and Quality Assurance,13,3,12,MJones
13,Annette Bunker; Trent Larson; Mike Jones; Phil Windley;,Alexandria: A Tool for Heirarchical Verification, Tools Paper FMCAD LNCS edited by Windley and Gopalakrishnan,13,4,13,MJones
