,Coauthor,Paper,Journal,AuthorID,PaperNO,PaperID,Author
1,J Smith;Terence C Fogarty,Self Adaptation of Mutation Rates in a Steady State Genetic Algorithm ,International Conference Evolutionary Computation,10,10,1,JSmith
2,J Smith;N Kransnogor;J E Smith, MAFRA: A Java Memetic Algorithms Framework, Workshops Proceedings of the International Genetic and Evolutionary Computation Conference GECCO editor A S Wu,10,11,2,JSmith
3,J Smith;Natalio Krasnogor,A Memetic Algorithm With Self-Adaptive Local Search: TSP as a case study ,GECCO The Genetic and Evolutionary Computation Conference,10,12,3,JSmith
4,J Smith;N Krasnogor;J E Smith,Emergence of Profitable Search strategies Based on a Simple Inheritance Mechanism, Spector L E Goodman A Wu W B Langdon H M Voigt M Gen S Sen M Dorigo S Pezeshk M Garzon and E editors Proceedings of the Genetic and Evolutionary Computation Conference GECCO The Genetic and Evolutionary Computation Conference San Francisco Computer Animation Morgan Kaufmann Publishers,10,13,4,JSmith
5,J Smith;N Krasnogor;W Hart;J E Smith;D Pelta,Protein Structure Prediction With Evolutionary Algorithms, Proceedings of Genetic and Evolutionary Computation Conference Banzhaf Daida Eiben Garzon Honovar Jakiela and Smith editors Morgan Kaufmann,10,14,5,JSmith
6,J Smith;N Krasnogor;J E Smith;W E Hart,Recent Advances in Memetic Algorithms, Springer,10,15,6,JSmith
7,J Smith;J E Smith,Co-Evolution of Memetic Algorithms : Initial Results, Merelo Adamitis Beyer Fgenandez Villacans and Schwefel eds Parallel problem solving from Nature PPSN Parallel Problem Solving from Nature VII Springer Verlag LNCS,10,16,7,JSmith
8,J Smith;J E Smith,Adaptively Parameterised Evolutionary Ststems: Self Adaptive Recombination and Mutation in a Steady State Genetic Algorithm, Parallel Problem Solving from Nature IV eds Voigt Ebeling Rechenberg and Schwefel Springer Verlag,10,17,8,JSmith
9,J Smith;J E Smith;T C Fogarty, Genetic Feature Selection for Clustering and Classification,IEE Colloquium Genetic Algorithms Image Processing Vision London IEE Digest,10,18,9,JSmith
10,J Smith;J E Smith,Genetic Algorithms, Handbook of Global Optimization volume Heuristic Approaches eds Romeijn and Pardalos Kluwer Academic Publishers ISBN,10,19,10,JSmith
11,J Smith;J E Smith;M Bartley,Microprocessor Design Verification by Two-Phase Evolution of Variable Length Tests, Proceedings of the IEEE International Conference Evolutionary Computing IEEE Press,10,20,11,JSmith
12,J Smith;J E Smith,Modelling GAs with Self Adaptive Mutation Rates, Spector L E Goodman A Wu W B Langdon H M Voigt M Gen S Sen M Dorigo S Pezeshk M Garzon and E editors Proceedings of the Genetic and Evolutionary Computation Conference GECCO The Genetic and Evolutionary Computation Conference San Francisco Computer Animation Morgan Kaufmann Publishers,10,21,12,JSmith
13,J Smith;J E Smith;T C Fogarty, An Adaptive Poly-Parental Recombination Strategy, Evolutionary Computing ed Fogarty T C Springer Verlag,10,22,13,JSmith
14,J Smith;R E Smith;J E Smith,"An examination of tuneable, random search landscapes", Foundations of Genetic Algorithms V Banzhaf Reeves editors Morgan Kaufmann,10,23,14,JSmith
15,J Smith;R E Smith;J E Smith,New Methods for Tunable Random Landscapes, Foundations of Genetic Algorithms Martin and Spears eds Morgan Kaufmann,10,24,15,JSmith
16,Jim Smith,On Appropriate Adaptation Levels for the Learning of Gene Linkage, Journal of Genetic Programming and Evolvable Machines Number,10,25,16,JSmith
17,J Smith;J E Smith,Parameter Perturbation Mechanisms in Binary Coded GAs with Self-Adaptive Mutation, Rowe Poli DeJong Cotta eds Foundations of Genetic Algorithms Morgan Kauffman,10,26,17,JSmith
18,J Smith;J E Smith, Operator and Parameter Adaptation in Genetic Algorithms, pp Soft Computing Springer Verlag,10,27,18,JSmith
19,J Smith;J E Smith;T C Fogarty,Recombination Strategy Adaptation via Evolution of Gene Linkage, Proceedings of IEEE International Conference Evolutionary Computing,10,28,19,JSmith
20,J Smith;J E Smith;F Vavak,Replacement strategies in steady state genetic algorithms: dynamic environments, p Journal of Computing Information Technology Special Issue Evolutionary Computing,10,29,20,JSmith
21,J Smith;J E Smith;F Vavak,Replacement strategies in steady state genetic algorithms: static environments, Foundations of Genetic Algorithms V Banzhaf Reeves editors Morgan Kaufmann,10,30,21,JSmith
22,J Smith;J E Smith;T C Fogarty, Self Adaptation of Mutation Rates in a Steady State Genetic Algorithm, Proceedings of IEEE International Conference Evolutionary Computing IEEE Press,10,31,22,JSmith
23,J Smith;A Staggemeier;A Clarke;U Aickelin;J E Smith,A hybrid genetic algorithm to solve a lot sizing and scheduling problem,Proceedings of the Conference of International Federation of Operational Research Societies,10,32,23,JSmith
24,J Smith;M Caleb-Solly Steuer;P Smith,A Modified Neocognitron Network for Medical Signal Classification, Proceedings of the International Conference Neural Networks and Expert Systems Medicine and HealthCare,10,33,24,JSmith
25,J Smith;M Caleb-Solly Steuer;J E P Smith,An Alternative Approach for the Evaluation of the Neocognitron,Proceedings of the th European Symposium Artificial Neural Networks Bruges,10,34,25,JSmith
26,J Smith;C Stone;J E Smith,Strategy Parameter Variation in Self-Adaptation of Mutation Rates,pp Langdon et eds Proceedings of the Genetic and Evolutionary Computation Conference Morgan Kaufmann,10,35,26,JSmith
