"","Coauthor","Paper","Journal","AuthorID","PaperNO","PaperID"
"1","S Lee; In Kyu Park ; Sang Wook Lee","Shape-Adaptive -D Mesh Simplification Based on Local Optimality Measurement ","Pacific Conference Computer Graphics and Applications","10","10_10 S Lee; In Kyu Park ; Sang Wook Lee<","1"
"2","S Lee; Dong-Gyu Sim ; Ihn-Cheol Kim ; Rae-Hong Park ; Rin-Chul Kim","Integrated Position Estimation Using Aerial Image Sequences ","IEEE Transactions Pattern Analysis and Machine Intelligence","10","10_11 S Lee; Dong-Gyu Sim ; Ihn-Cheol Kim ; Rae-Hong Park ; Rin-Chul Kim<","2"
"3","S Lee; In Kyu Park ; Kyoung Mu Lee","Models and algorithms for efficient multiresolution topology estimation of measured -D range data ","IEEE Transactions Systems Man and Cybernetics Part B","10","10_12 S Lee; In Kyu Park ; Kyoung Mu Lee<","3"
"4","S Lee; Il Dong Yun ; In Kyu Park","A Color Normalization Algorithm for Image Indexing ","ACCV Asian Conference Computer Vision","10","10_13 S Lee; Il Dong Yun ; In Kyu Park<","4"
"5","S Lee; Chang-Su Kim ; Seung Hwan Kim","Efficient Motion Compensation Algorithm Based on Second-Order Prediction ","ICIP International Conference Image Processing","10","10_14 S Lee; Chang-Su Kim ; Seung Hwan Kim<","5"
"6","S Lee; Chang-Su Kim ; Rin-Chul Kim","Robust Transmission of Video Over Noisy Channel Using Parity Motion Vector ","ICIP International Conference Image Processing","10","10_15 S Lee; Chang-Su Kim ; Rin-Chul Kim<","6"
"7","S Lee; Dong-Gyu Sim ; Ihn-Cheol Kim ; Rae-Hong Park ; Rin-Chul Kim","Integrated Position Estimation Using Aerial Image Sequences ","IEEE Transactions Pattern Analysis and Machine Intelligence","10","10_16 S Lee; Dong-Gyu Sim ; Ihn-Cheol Kim ; Rae-Hong Park ; Rin-Chul Kim<","7"
"8","S Lee; Byeong Hwan Jeon ; Kyung Mu Lee","Rotation Invariant Face Detection using a Model-Based Clustering Algorithm ","IEEE International Conference Multimedia and Expo II","10","10_17 S Lee; Byeong Hwan Jeon ; Kyung Mu Lee<","8"
"9","S Lee; Choon Soo Park ; Jongchul Ye","Lost Motion Vector Recovery Algorithm ","ISCAS IEEE International Symposium Circuits and Systems","10","10_18 S Lee; Choon Soo Park ; Jongchul Ye<","9"
"10","S Lee; Yong Kwan Kim"," -D Subband Video Coding Technique Using Adaptive Wavelet Packet Bases ","ISCAS IEEE International Symposium Circuits and Systems","10","10_19 S Lee; Yong Kwan Kim<","10"
"11","S Lee; Kiho Kim ; Nam Ik Cho","Design of FIR filter over a discrete coefficient space with applications to HDTV signal processing ","ISCAS IEEE International Symposium Circuits and Systems","10","10_20 S Lee; Kiho Kim ; Nam Ik Cho<","11"
"12","S Lee; Nam Ik Cho ; Yoon Gi Yang","On the performance analysis of the subband adaptive digital filter ","ISCAS IEEE International Symposium Circuits and Systems","10","10_21 S Lee; Nam Ik Cho ; Yoon Gi Yang<","12"
"13","S Lee; In Kyu Park ; Kyoung Mu Lee","Perceptual Grouping of -D Features in Aerial Image Using Decision Tree Classifier ","ICIP International Conference Image Processing","10","10_1 S Lee; In Kyu Park ; Kyoung Mu Lee<","13"
"14","S Lee; In Kyu Park","Geometric Modeling from Scattered -D Range Data ","ICIP International Conference Image Processing","10","10_2 S Lee; In Kyu Park<","14"
"15","S Lee; Ja Seong Ku ; Kyoung Mu Lee","Multi-Image Matching for a General Motion Stereo Camera Model ","ICIP International Conference Image Processing","10","10_3 S Lee; Ja Seong Ku ; Kyoung Mu Lee<","15"
"16","S Lee; Eunjin Jung ; Il Dong Yun","Recovery of -D Shape using Hybrid Reflectance Model ","ICIP International Conference Image Processing","10","10_4 S Lee; Eunjin Jung ; Il Dong Yun<","16"
"17","S Lee; Hee Soo Yang","Split-and-Merge Segmentation Employing Thresholding Technique ","ICIP International Conference Image Processing","10","10_5 S Lee; Hee Soo Yang<","17"
"18","S Lee; Chang-Su Kim ; Rin-Chul Kim","Robust Transmission of Video Over Noisy Channel Using Parity Motion Vector ","ICIP International Conference Image Processing","10","10_6 S Lee; Chang-Su Kim ; Rin-Chul Kim<","18"
"19","S Lee; Il Dong Yun ; Jeong Hee Kim","Unsupervised Segmentation of Textured Image using Markov Random Field in Random Spatial Interaction ","ICIP International Conference Image Processing","10","10_7 S Lee; Il Dong Yun ; Jeong Hee Kim<","19"
"20","S Lee; Il Dong Yun ; Inseo Han","Model-Based Object Recognition Using the Hausdorff Distance with Explicit Pairing ","ICIP International Conference Image Processing","10","10_8 S Lee; Il Dong Yun ; Inseo Han<","20"
"21","S Lee; In Kyu Park ; Kyoung Mu Lee","Recognition and Reconstruction of -D Objects Using Model-Based Perceptual Grouping ","ICPR International Conference Pattern Recognition","10","10_9 S Lee; In Kyu Park ; Kyoung Mu Lee<","21"
"22","S Lee; Tok Wang Ling","Improving Integrity Constraint Checking for Stratified Deductive Databases ","DEXA Database and Expert Systems Applications","11","11_10 S Lee; Tok Wang Ling<","22"
"23","S Lee; Tok Wang Ling","Refined Termination Decision in Active Databases ","DEXA Database and Expert Systems Applications","11","11_11 S Lee; Tok Wang Ling<","23"
"24","S Lee; Tok Wang Ling","Verify Updating Trigger Correctness ","DEXA Database and Expert Systems Applications","11","11_12 S Lee; Tok Wang Ling<","24"
"25","S Lee; Hua-Gang Li ; Tok Wang Ling","Range-Max/Min Query in OLAP Data Cube ","DEXA Database and Expert Systems Applications","11","11_13 S Lee; Hua-Gang Li ; Tok Wang Ling<","25"
"26","S Lee; Gillian Dobbie ; Leonid A Kalinichenko ; Mong-Li Lee ; Tok Wang Ling","Designing Semistructured Databases: A Conceptual Approach ","DEXA Database and Expert Systems Applications","11","11_14 S Lee; Gillian Dobbie ; Leonid A Kalinichenko ; Mong-Li Lee ; Tok Wang Ling<","26"
"27","S Lee; Bin Cui ; Chuan-Heng Ang ; Tok Wang Ling ; ZhongWei Luo","Range Top/Bottom k Queries in OLAP Sparse Data Cubes ","DEXA Database and Expert Systems Applications","11","11_15 S Lee; Bin Cui ; Chuan-Heng Ang ; Tok Wang Ling ; ZhongWei Luo<","27"
"28","S Lee; Chuan-Heng Ang ; Tok Wang Ling ; Zheng Xuan Loh","Adaptive Method for Range Top- k Queries in OLAP Data Cubes ","DEXA Database and Expert Systems Applications","11","11_16 S Lee; Chuan-Heng Ang ; Tok Wang Ling ; Zheng Xuan Loh<","28"
"29","S Lee; Mong-Li Lee ; Tok Wang Ling","Updatability in Federated Database Systems ","DEXA Database and Expert Systems Applications","11","11_17 S Lee; Mong-Li Lee ; Tok Wang Ling<","29"
"30","S Lee; Boon Tun Wee ; Tok Wang Ling","DO : Deductive Object-Oriented Database System ","DEXA Database and Expert Systems Applications","11","11_18 S Lee; Boon Tun Wee ; Tok Wang Ling<","30"
"31","S Lee; Hua-Gang Li ; Tok Wang Ling ; Wai Chong Low ; Zhong Wei Luo","Variable Sized Partitions for Range Query Algorithms ","DEXA Database and Expert Systems Applications","11","11_19 S Lee; Hua-Gang Li ; Tok Wang Ling ; Wai Chong Low ; Zhong Wei Luo<","31"
"32","S Lee; Tok Wang Ling","Further Improvements on Integrity Constraint Checking for Stratifiable Deductive Databases ","VLDB Very Large Data Bases","11","11_1 S Lee; Tok Wang Ling<","32"
"33","S Lee; Tok Wang Ling","Unrolling Cycles to Decide Trigger Termination ","VLDB Very Large Data Bases","11","11_2 S Lee; Tok Wang Ling<","33"
"34","S Lee; Hua-Gang Li ; Tok Wang Ling","Hierarchical Compact Cube for Range-Max Queries ","VLDB Very Large Data Bases","11","11_3 S Lee; Hua-Gang Li ; Tok Wang Ling<","34"
"35","S Lee; Hua-Gang Li ; Tok Wang Ling ; Zheng Xuan Loh","Range Sum Queries in Dynamic OLAP Data Cubes ","CODAS The Second International Symposium Cooperative Database Systems for Advanced Applications","11","11_4 S Lee; Hua-Gang Li ; Tok Wang Ling ; Zheng Xuan Loh<","35"
"36","S Lee; Tok Wang Ling","Are Your Trigger Rules Correct?","DEXA Database and Expert Systems Applications Workshop","11","11_5 S Lee; Tok Wang Ling<","36"
"37","S Lee; Tok Wang Ling","Improving Integrity Checking for Exists-Constraints ","DASFAA Database Systems for Advanced Applications","11","11_6 S Lee; Tok Wang Ling<","37"
"38","S Lee; Tok Wang Ling","A Path Removing Technique for Detecting Trigger Termination ","EDBT Extending Database Technology","11","11_20 S Lee; Tok Wang Ling<","38"
"39","S Lee; Gillian Dobbie ; Mong-Li Lee ; Tok Wang Ling ; Xiaoying Wu","NF-SS: A Normal Form for Semistructured Schema ","ER International Conference Conceptual Modeling the Entity Relationship Approach Workshops","11","11_7 S Lee; Gillian Dobbie ; Mong-Li Lee ; Tok Wang Ling ; Xiaoying Wu<","39"
"40","S Lee; Pei Yuen Wong ; Wai Lup Low","Learning Fingerprints for a Database Intrusion Detection System ","ESORICS the European Symposium Research Computer Security","11","11_21 S Lee; Pei Yuen Wong ; Wai Lup Low<","40"
"41","S Lee; Leonid A Kalinichenko ; Mong-Li Lee ; Tok Wang Ling","Designing Good Semi-Structured Databases and Conceptual Modeling ","ER International Conference Conceptual Modeling the Entity Relationship Approach","11","11_8 S Lee; Leonid A Kalinichenko ; Mong-Li Lee ; Tok Wang Ling<","41"
"42","S Lee; Chuan-Heng Ang ; Tok Wang Ling ; Zheng Xuan Loh","Analysis of pre-computed partition top method for range top-k queries in OLAP data cubes ","CIKM International Conference Information and Knowledge Management","11","11_9 S Lee; Chuan-Heng Ang ; Tok Wang Ling ; Zheng Xuan Loh<","42"
"43","S Lee;H Kim;S -g Lee","User-Feedback Driven Document Clustering Technique for Information Organization,","IEICE Transactions Information and Systems E D","12","12_20 S Lee;H Kim;S -g Lee<","43"
"44","S Lee;H Kim;S -g Lee","Automatic Maintenance of Evolving Topic Structure in Intelligent Information Systems,","Proceedings of Conference Advances Intelligent Systems","12","12_21 S Lee;H Kim;S -g Lee<","44"
"45","S Lee;H Kim;T Lee;S -g Lee;J Chun","Automated Data Warehousing for Rule-based CRM Systems,","Proceedings of the th Australasian Database Conference","12","12_22 S Lee;H Kim;T Lee;S -g Lee;J Chun<","45"
"46","S Lee;T Lee;J Shim;S -g Lee","DOC: A Distributed Object Caching System for Information Infrastructure,","Proceedings of the Human Society Internet Conference Lecture Notes Computer Science","12","12_23 S Lee;T Lee;J Shim;S -g Lee<","46"
"47","S Lee;S -g Lee;D Kim;C Wu","Digital Catalog Library: A Shared Repository of Online Catalogs for Electronic Commerce,","Proceedings of Workshop Advanced Issues of E and Web based Information Systems","12","12_24 S Lee;S -g Lee;D Kim;C Wu<","47"
"48","Juhnyoung Lee ; Suekyung Lee","A Framework of Winner Determination Algorithms for Internet Auctions ","Human Society Internet","12","12_25 Juhnyoung Lee ; Suekyung Lee<","48"
"49","S Lee;S -g Lee;L Henschen;J Chun;T Lee","Semantic Query Reformulation in Deductive Databases,","Information and Software Technology","12","12_26 S Lee;S -g Lee;L Henschen;J Chun;T Lee<","49"
"50","S Lee;S -g Lee;S Mun;P Jha;B Levine;D Ro","Telemedicine: Challenges and Opportunities,","Journal of High Speed Networks","12","12_27 S Lee;S -g Lee;S Mun;P Jha;B Levine;D Ro<","50"
"51","S Lee;G Park;J Oh;K Kim;S -g Lee;C Wu","A Component-based Architecture for Digital Catalog Library Systems,","Proceedings of Software Architecture and Components Workshop","12","12_28 S Lee;G Park;J Oh;K Kim;S -g Lee;C Wu<","51"
"52","S Lee;Ghassan Z Qadah ; Lawrence J Henschen","Semantic Query Reformulation in Deductive Databases ","ICDE International Conference Data Engineering","12","12_29 S Lee;Ghassan Z Qadah ; Lawrence J Henschen<","52"
"53","S Lee;Junho Shim ; Taehee Lee","DOC: A Distributed Object Caching System for Information Infrastructure ","Human Society Internet","12","12_30 S Lee;Junho Shim ; Taehee Lee<","53"
"54","S Lee;Junho Shim ; Taehee Lee","A Server Placement Algorithm Conscious of Communication Delays and Relocation Costs ","NETWORKING Workshops","12","12_31 S Lee;Junho Shim ; Taehee Lee<","54"
"55","J Shim;T Lee;S Lee","A Server Placement Algorithm Conscious of Communication Delays and Relocation Costs,","Proceedings of the Web Engineering Conference Lecture Notes Computer Science","12","12_32 J Shim;T Lee;S Lee<","55"
"56","S Lee;Chisu Wu ; Geunduk Park ; Jaewon Oh ; Kapsoo Kim","Catalog Sharing through Catalog Interoperability ","Human Society Internet","12","12_33 S Lee;Chisu Wu ; Geunduk Park ; Jaewon Oh ; Kapsoo Kim<","56"
