"","Coauthor","Paper","Journal","AuthorID","PaperNO","PaperID"
"1","K Tanaka; Eiji Shinohara ; Hiroaki Matsumura ; Hiroshi Sunaga ; Michiharu Takemoto","The Ubiquitous Service-Oriented Network USON - An Approach for a Ubiquitous World Based on P P Technology ","Peer to Peer Computing","10","10_1 K Tanaka; Eiji Shinohara ; Hiroaki Matsumura ; Hiroshi Sunaga ; Michiharu Takemoto<","1"
"2","K Tanaka; Choong Seon Hong ; Shinkuro Honda ; Takeshi Yoneda ; Yutaka Matsushita","Multimedia Communication Networking Architecture Model for High Speed Network ","LCN IEEE Conference Local Computer Networks","10","10_2 K Tanaka; Choong Seon Hong ; Shinkuro Honda ; Takeshi Yoneda ; Yutaka Matsushita<","2"
"3","M Yoshikawa;K Ishihara;K Tanaka","Schema Design, Views and Incomplete Information in Object-oriented Databases,"," English Trans of IPSJ","1","1_103 M Yoshikawa;K Ishihara;K Tanaka<","3"
"4","K Tanaka;Kaname Harumoto ; Keishi Tajima ; Masahiko Tsukamoto ; Masatoshi Arikawa ; Shinji Shimojo ; Shojiro Nishio ; Yasuo Ariki","An Advanced Processing Environment for Managing the Continuous and Semistructured Features of Multimedia Content ","ADBIS Advances Databases and Information Systems DASFAA Database Systems for Advanced Applications","1","1_16 K Tanaka;Kaname Harumoto ; Keishi Tajima ; Masahiko Tsukamoto ; Masatoshi Arikawa ; Shinji Shimojo ; Shojiro Nishio ; Yasuo Ariki<","4"
"5","M Yoshikawa;K Ishihara;K Tanaka","Schema Virtualization in Object-Oriented Databases,","Proc of the th IEEE Int Conf Data Engineering","1","1_104 M Yoshikawa;K Ishihara;K Tanaka<","5"
"6","K Tanaka;Kenji Hatano ; Ryouichi Sano ; Yiwei Duan","An Interactive Classification of Web Documents by Self-Organizing Maps and Search Engines ","DASFAA Database Systems for Advanced Applications","1","1_17 K Tanaka;Kenji Hatano ; Ryouichi Sano ; Yiwei Duan<","6"
"7","M Yoshikawa;K Tanaka","Towards Abstracting Complex Database Objects: Generalization, Reduction and Unification of Set-type Objects Extended Abstract ,","Proc Int Conf Database Theory Lecture Notes Computer Science Springer Verlag","1","1_105 M Yoshikawa;K Tanaka<","7"
"8","K Tanaka;Akiyo Nadamoto ; Kazutoshi Sumiya ; Masaki Shikata","MWM: Retrieval and Automatic Presentation of Manual Data for Mobile Terminals ","DEXA Database and Expert Systems Applications","1","1_50 K Tanaka;Akiyo Nadamoto ; Kazutoshi Sumiya ; Masaki Shikata<","8"
"9","K Tanaka;Kenji Hatano ; Qing Qian","A SOM-Based Information Organizer for Text and Video Data ","DASFAA Database Systems for Advanced Applications","1","1_18 K Tanaka;Kenji Hatano ; Qing Qian<","9"
"10","K Tanaka;Koji Zettsu ; Yutaka Kidawara","Image Retrieval by Web Context: Filling the Gap between Image Keywords and Usage Keywords ","DEXA Database and Expert Systems Applications","1","1_106 K Tanaka;Koji Zettsu ; Yutaka Kidawara<","10"
"11","K Tanaka;Akiyo Nadamoto ; Hiroyuki Kondo","WebCarrousel: Restructuring Web Search Results for Passive Viewing in Mobile Environments ","DASFAA Database Systems for Advanced Applications","1","1_51 K Tanaka;Akiyo Nadamoto ; Hiroyuki Kondo<","11"
"12","K Tanaka;Tatsuo Hirose ; Toshihiko Hata ; Y Nakanishi","Querying Multiple Perspective Video by Camera Metaphor ","DASFAA Database Systems for Advanced Applications","1","1_19 K Tanaka;Tatsuo Hirose ; Toshihiko Hata ; Y Nakanishi<","12"
"13","K Tanaka;Koji Zettsu ; Kuniaki Uehara","Semantic Structures for Video Data Indexing ","AMCP Advanced Multimedia Content Processing","1","1_107 K Tanaka;Koji Zettsu ; Kuniaki Uehara<","13"
"14","K Tanaka;Akiyo Nadamoto ; Hiroyuki Kondo","WebCarousel: Automatic Presentation and Semantic Restructuring of Web Search Result for Mobile Environments ","DEXA Database and Expert Systems Applications","1","1_52 K Tanaka;Akiyo Nadamoto ; Hiroyuki Kondo<","14"
"15","K Tanaka;Kohji Zettsu ; Kuniaki Uehara ; Nobuo Kimura","A Time-Stamped Authoring Graph for Video Databases ","DEXA Database and Expert Systems Applications","1","1_108 K Tanaka;Kohji Zettsu ; Kuniaki Uehara ; Nobuo Kimura<","15"
"16","K Tanaka;Akiyo Nadamoto ; Kengo Koiso","Associating and Presenting Metadata of Digital Archive Objects in Virtual Spaces as Synchronized Multimedia Content ","Kyoto International Conference Digital Libraries","1","1_53 K Tanaka;Akiyo Nadamoto ; Kengo Koiso<","16"
"17","K Tanaka;Akiyo Nadamoto ; Atsushi Iizawa ; Kazutoshi Sumiya ; Taeko Hattori ; Takako Hashimoto ; Yukari Shirota","A TV Program Generation System using Digest of Video Scenes and a Scripting Markup Language ","HICSS INTERNATIONAL CONFERENCE SYSTEM SCIENCES","1","1_54 K Tanaka;Akiyo Nadamoto ; Atsushi Iizawa ; Kazutoshi Sumiya ; Taeko Hattori ; Takako Hashimoto ; Yukari Shirota<","17"
"18","K Tanaka;K Nanba ; N Nishikawa ; S Hirayama","Query Pairs as Hypertext Links ","ICDE International Conference Data Engineering","1","1_55 K Tanaka;K Nanba ; N Nishikawa ; S Hirayama<","18"
"19","N Nishikawa;S Hirayama;K Nanba;K Tanaka","Query Pairs As Hypertext Links","Proc of the th Int Conf Data Engineering IEEE Computer Society","1","1_56 N Nishikawa;S Hirayama;K Nanba;K Tanaka<","19"
"20","S Nishio;K Tanaka","Obase Object Database Model: Towards a More Flexible Object-Oriented Database System,","Proc Int Symp Next Generation Database Systems and Their Applications NDA Fukuoka Cpp","1","1_57 S Nishio;K Tanaka<","20"
"21","K Tanaka","Towards an Integrated Environment for Editing, Viewing and Publishing Multimedia Database Objects,","Proc Int Symp Computer World","1","1_90 K Tanaka<","21"
"22","K Tanaka;Eitetsu Ohmoto","HistoryChart: A Visual Language for Historical Databases ","DASFAA Database Systems for Advanced Applications","1","1_58 K Tanaka;Eitetsu Ohmoto<","22"
"23","K Tanaka","Tutorial: Object-Oriented Database,","Int Symp Database Systems for Advanced Applications Seoul Korea","1","1_91 K Tanaka<","23"
"24","K Tanaka;Hiroaki Oiso ; Jun-ya Morishita ; Kazuhiro Ohtsuki ; Qing Qian ; Shinichi Ueshima","Incremental Data Organization for Ancient Document Databases ","DASFAA Database Systems for Advanced Applications","1","1_59 K Tanaka;Hiroaki Oiso ; Jun-ya Morishita ; Kazuhiro Ohtsuki ; Qing Qian ; Shinichi Ueshima<","24"
"25","K Tanaka;Kuniaki Uehara ; Yutaka Kidawara","Encapsulating Multimedia Contents and a Copyright Protection Mechanism into Distributed Objects ","DEXA Database and Expert Systems Applications","1","1_92 K Tanaka;Kuniaki Uehara ; Yutaka Kidawara<","25"
"26","K Tanaka;Chung Le Viet ; Shuzo Yajima ; Yahiko Kambayashi","A file organization suitable for relational database operations ","Mathematical Studies of Information Processing","1","1_93 K Tanaka;Chung Le Viet ; Shuzo Yajima ; Yahiko Kambayashi<","26"
"27","C Le Viet;Y Kambayashi;S Yajima;K Tanaka","A File Organization Suitable for Relational Database Operations,","Lecture Notes Computer Science Springer Verlag","1","1_94 C Le Viet;Y Kambayashi;S Yajima;K Tanaka<","27"
"28","K Tanaka;Takeshi Yabe","Similarity Retrieval of Human Motion As Multi-Stream Time Series Data ","DANTE Delivery of Advanced Network Technology to Europe","1","1_95 K Tanaka;Takeshi Yabe<","28"
"29","S yajima;Y Kambayashi;K Tanaka","Bibliographic Information Processing Facilities for Relational Database System ARIS,","Proc th Int Conf System Sciences","1","1_96 S yajima;Y Kambayashi;K Tanaka<","29"
"30","K Tanaka;Chikashi Yajima ; Yoshihiro Nakanishi","Querying Video Data by Spatio-Temporal Relationships of Moving Object Traces ","VDB Visual Database Systems","1","1_97 K Tanaka;Chikashi Yajima ; Yoshihiro Nakanishi<","30"
"31","K Tanaka;Shuzo Yajima ; Yahiko Kambayashi","Problems of Relational Database Design ","Data Base Design Techniques I","1","1_98 K Tanaka;Shuzo Yajima ; Yahiko Kambayashi<","31"
"32","K Tanaka;Shuzo Yajima ; Yahiko Kambayashi","Organization of quasi-consecutive retrieval files ","Inf Syst","1","1_99 K Tanaka;Shuzo Yajima ; Yahiko Kambayashi<","32"
"33","K Tanaka;Tatsuo Hirose ; Yoshihiro Nakanishi","Modeling and Structuring Multiple Perspective Video for Browsing ","ER International Conference Conceptual Modeling the Entity Relationship Approach","1","1_20 K Tanaka;Tatsuo Hirose ; Yoshihiro Nakanishi<","33"
"34","K Tanaka;Tatsuo Hirose ; Toshihiko Hata","Skimming Multiple Perspective Video Using Tempo-Spatial Importance Measures ","VDB Visual Database Systems","1","1_21 K Tanaka;Tatsuo Hirose ; Toshihiko Hata<","34"
"35","R Hull;M Yoshikawa;K Tanaka","Behavior Analysis of Object-Oriented Databases: Method Structure, Execution Trees and Reachability Extended Abstract ,","Proc rd Int Conf Foundations of Data Organizations and Algorithms Lecture Notes Computer Science Springer Verlag","1","1_22 R Hull;M Yoshikawa;K Tanaka<","35"
"36","K Tanaka;Kozo Ishihara ; Masatoshi Yoshikawa","Schema Virtualization in Object-Oriented Databases ","ICDE International Conference Data Engineering","1","1_23 K Tanaka;Kozo Ishihara ; Masatoshi Yoshikawa<","36"
