"","Coauthor","Paper","Journal","AuthorID","PaperNO","PaperID"
"1","M Brown; Jianying Hu ; William Turin","Invariant Features for HMM Based On-Line Handwriting Recognition ","ICIAP","10","10_1 M Brown; Jianying Hu ; William Turin<","1"
"2","M Brown; Amy S Rosenthal ; Jianying Hu","Combining High-Level Features with Sequential Local Features for On-Line Handwriting Recognition ","ICIAP","10","10_2 M Brown; Amy S Rosenthal ; Jianying Hu<","2"
"3","M Brown; Jianying Hu ; William Turin","HMM Based On-Line Handwriting Recognition ","IEEE Transactions Pattern Analysis and Machine Intelligence","10","10_3 M Brown; Jianying Hu ; William Turin<","3"
"4","M Brown;Mary D Brown; Jared Stark; Yale N Patt","Select-Free Instruction Scheduling Logic,","Proceedings of the th ACM IEEE International Symposium Microarchitecture MICRO International Symposium Microarchitecture talk slides","11","11_1 M Brown;Mary D Brown; Jared Stark; Yale N Patt<","4"
"5","M Brown;Mary D Brown ; Yale N Patt","Using Internal Redundant Representations and Limited Bypass to Support Pipelined Adders and Register Files,"," the Proceedings of the th IEEE International Symposium High Performance Computer Architecture HPCA International Symposium High Performance Computer Architecture talk slides","11","11_2 M Brown;Mary D Brown ; Yale N Patt<","5"
"6","M Brown;Yale N Patt","Using Internal Redundant Representations and Limited Bypass to Support Pipelined Adders and Register Files ","HPCA International Symposium High Performance Computer Architecture","11","11_3 M Brown;Yale N Patt<","6"
"7","M Brown;Jared Stark; Mary D Brown; Yale N Patt","On Pipelining Dynamic Instruction Scheduling Logic,","Proceedings of the rd ACM IEEE International Symposium Microarchitecture MICRO International Symposium Microarchitecture","11","11_4 M Brown;Jared Stark; Mary D Brown; Yale N Patt<","7"
"8","M Brown;Jared Stark ; Yale N Patt","Select-free instruction scheduling logic ","MICRO International Symposium Microarchitecture","11","11_5 M Brown;Jared Stark ; Yale N Patt<","8"
"9","M Brown;","Selecting Semantics for Use with Semantic Pruning of Linear Deductions ","Australian Joint Conference Artificial Intelligence","12","12_1 M Brown;<","9"
"10","M Brown ; G Sutcliffe ","PTTP+GLiDeS: Guiding Linear Deductions with Semantics ","N Foo editor Advanced Topics Artificial Intelligence th Australian Joint Conference Artificial Intelligence AI Artificial Intelligence Sydney number Lecture Notes Artificial Intelligence pages Springer Verlag Heidelberg","12","12_2 M Brown ; G Sutcliffe <","10"
"11","M Brown; G Sutcliffe ","PTTP+GLiDeS - Semantically Guided PTTP,","D McAllester editor Automated Deduction CADE Conference Automated Deduction th International Conference Automated Deduction Proceedings p number LNAI Springer Verlag New","12","12_3 M Brown; G Sutcliffe <","11"
"12","M Brown; G Sutcliffe ","PTTP+GLiDeS - Using Models to Guide Linear Deductions ","Baumgartner P Fermueller C Peltier N Zhang H Eds Proceedings of the CADE Conference Automated Deduction Workshop Model Computation Principles Algorithms Applications","12","12_4 M Brown; G Sutcliffe <","12"
