"","Coauthor","Paper","Journal","AuthorID","PaperNO","PaperID"
"1","J Robinson; ","Discourse: Codes and Clues in Contexts ","ACL Meeting of the Association for Computational Linguistics","10","10_1 J Robinson; <","1"
"2","J Robinson; ","DIAGRAM: A Grammar for Dialogues ","Cooperative Interfaces to Information Systems","10","10_2 J Robinson; <","2"
"3","J Robinson; ","DIAGRAM: A Grammar for Dialogues ","Commun ACM","10","10_3 J Robinson; <","3"
"4","J Robinson; A Burns","A Dialogue Development System for the Design and Implementation of User Interfaces in Ada ","Comput J","11","11_1 J Robinson; A Burns<","4"
"5","J Robinson; A Burns","ADDS - A Dialogue Development System for the Ada Programming Language ","International Journal of Man Machine Studies","11","11_2 J Robinson; A Burns<","5"
"6","J Robinson; ","Software Engineering Curriculum Development Model ","CSEE","12","12_1 J Robinson; <","6"
"7","J Robinson; William A Bralick","Using a Multi-User Dialogue System to Support Software Engineering Distance Education ","CSEE","12","12_2 J Robinson; William A Bralick<","7"
"8","J Robinson;H T Kung ","On optimistic methods for concurrency control ","ACM Trans Database Systems","1","1_32 J Robinson;H T Kung <","8"
"9","J Robinson;Balakrishna R Iyer ; Daniel M Dias ; Douglas W Cornell ; Philip S Yu","Modelling of Centralized Concurrency Control in a Multi-System Environment ","SIGMETRICS Measurement and Modeling of Computer Systems","1","1_16 J Robinson;Balakrishna R Iyer ; Daniel M Dias ; Douglas W Cornell ; Philip S Yu<","9"
"10","J Robinson;D Dias; B Iyer; ; P Yu ","Integrated concurrency-coherency controls for multi-system data sharing ","IEEE Trans Soft Eng","1","1_33 J Robinson;D Dias; B Iyer; ; P Yu <","10"
"11","J Robinson;Balakrishna R Iyer ; Daniel M Dias ; Philip S Yu","Integrated Concurrency-Coherency Controls for Multisystem Data Sharing ","IEEE Trans Software Eng","1","1_17 J Robinson;Balakrishna R Iyer ; Daniel M Dias ; Philip S Yu<","11"
"12","J Robinson;V Castelli; L Bergman; I Kontoyiannis; C -S Li;; J Turek ","Progressive search and retrieval in large image archives ","IBM Journal of Res Develop","1","1_34 J Robinson;V Castelli; L Bergman; I Kontoyiannis; C -S Li;; J Turek <","12"
"13","J Robinson;H T Kung","On Optimistic Methods for Concurrency Control ","VLDB Very Large Data Bases","1","1_18 J Robinson;H T Kung<","13"
"14","J Robinson;P Heidelberger ; A Norton ","Parallel quicksort using fetch-and-add ","IEEE Trans Computers","1","1_35 J Robinson;P Heidelberger ; A Norton <","14"
"15","J Robinson;H T Kung","On Optimistic Methods for Concurrency Control ","ACM Trans Database Syst","1","1_19 J Robinson;H T Kung<","15"
"16","J Robinson","Some analysis techniques for asynchronous multiprocessor algorithms ","IEEE Trans Soft Eng SE","1","1_36 J Robinson<","16"
"17","J Robinson","Separating policy from correctness in concurrency control design ","Software Practice and Experience","1","1_37 J Robinson<","17"
"18","J Robinson;Charles O Schulz ; Michael E Wazlowski ; P Maurice Bland ; Peter A Franaszek ; R Brett Tremaine ; T Basil Smith","IBM Memory Expansion Technology MXT ","IBM Journal of Research and Development","1","1_38 J Robinson;Charles O Schulz ; Michael E Wazlowski ; P Maurice Bland ; Peter A Franaszek ; R Brett Tremaine ; T Basil Smith<","18"
"19","J Robinson;Joy Thomas ; Peter A Franaszek","Parallel Compression with Cooperative Dictionary Construction ","Data Compression Conference","1","1_39 J Robinson;Joy Thomas ; Peter A Franaszek<","19"
"20","J Robinson;","A Fast General-Purpose Hardware Synchronisation Mechanism ","SIGMOD International Conference Management of Data Conference","1","1_1 J Robinson;<","20"
"21","J Robinson;","Analysis of Steady-State Segment Storage Utilizations in a Log-Structured File System with Least-Utilized Segment Cleaning ","Operating Systems Review","1","1_2 J Robinson;<","21"
"22","J Robinson;","Order Preserving Linear Hashing Using Dynamic Key Statistics ","PODS Symposium Principles of Database Systems","1","1_3 J Robinson;<","22"
"23","J Robinson;","Some Analysis Techniques for Asynchronous Multiprocessor Algorithms ","IEEE Trans Software Eng","1","1_4 J Robinson;<","23"
"24","J Robinson;","Separating Policy from Correctness in Concurrency Control Design ","Softw Pract Exper","1","1_5 J Robinson;<","24"
"25","J Robinson;","The K-D-B-Tree: A Search Structure For Large Multidimensional Dynamic Indexes ","SIGMOD International Conference Management of Data Conference","1","1_6 J Robinson;<","25"
"26","J Robinson;Caroline Benveniste ; Peter A Franaszek","Cache-Memory Interfaces in Compressed Memory Systems ","IEEE Trans Computers","1","1_7 J Robinson;Caroline Benveniste ; Peter A Franaszek<","26"
"27","J Robinson;Murthy V Devarakonda","Data Cache Management Using Frequency-Based Replacement ","SIGMETRICS Measurement and Modeling of Computer Systems","1","1_8 J Robinson;Murthy V Devarakonda<","27"
"28","J Robinson;Murthy V Devarakonda","Note on a Problem with Reed and Longs FBR Results >Operating Systems Review
1_20 J Robinson;Anil Nigam ; Henry F Korth ; Ravi Krishnamurthy>A Framework for Understanding Distributed Deadlock Detection Algorithms >PODS Symposium Principles of Database Systems
1_21 J Robinson;Alan Norton ; Philip Heidelberger>Parallel Quicksort Using Fetch-and-Add >IEEE Trans Computers
1_22 J Robinson;Dan E Poff ; Peter A Franaszek ; Philip Heidelberger>Alogrithms and data structures for compressed-memory machines >IBM Journal of Research and Development
1_23 J Robinson;R B Tremaine; P A Franaszek; C O Schulz; T B Smith; M E Wazlowski; ; P M Bland >IBM Memory Expansion Technology MXT >IBM Journal of Res Develop
1_40 J Robinson;Alexander Thomasian ; Peter A Franaszek>Access Invariance and Its Use in High Contention Environments >ICDE International Conference Data Engineering
1_24 J Robinson;C Benveniste; P Franaszek >Cache-memory interfaces in compressed memory systems >IEEE Trans Computers
1_41 J Robinson;Alexander Thomasian ; Peter A Franaszek>Concurrency Control for High Contention Environments >ACM Trans Database Syst
1_25 J Robinson;P Franaszek ; A Thomasian >Concurrency control for high contention environments >ACM Trans Database Systems
1_42 J Robinson;Alexander Thomasian ; Jayant R Haritsa ; Peter A Franaszek>Distributed Concurrency Control Based on Limited Wait-Depth >IEEE Trans Parallel Distrib Syst
1_26 J Robinson;P Franaszek; J R Haritsa;; A Thomasian >Distributed concurrency control based on limited wait-depth >IEEE Trans Parallel and Distributed Systems
1_43 J Robinson;Alexander Thomasian ; Jayant R Haritsa ; Peter A Franaszek>Distributed Concurrency Control with Limited Wait-Depth >ICDCS International Conference Distributed Computing Systems
1_27 J Robinson;P Franaszek; P Heidelberger;; D Poff >Algorithms and data structures for compressed-memory machines >IBM Journal of Res Develop
1_44 J Robinson;Alexander Thomasian ; Peter A Franaszek>Wait Depth Limited Concurrency Control >ICDE International Conference Data Engineering
1_28 J Robinson;P Franaszek >Limitations of concurrency in transaction processing >ACM Trans Database Systems
1_29 J Robinson;P Yu; D Dias; B Iyer; ; D Cornell >On coupling multi-systems through data sharing >Proceedings of the IEEE
1_10 J Robinson;Peter A Franaszek>Limitations of Concurrency in Transaction Processing >ACM Trans Database Syst
1_11 J Robinson;Peter A Franaszek>On Variable Scope of Parity Protection in Disk Arrays >IEEE Trans Computers
1_12 J Robinson;Peter A Franaszek>Analysis of Reorganization Overhead in Log-Structured File Systems >ICDE International Conference Data Engineering
1_13 J Robinson;Peter A Franaszek>On internal organization in compressed random-access memories >IBM Journal of Research and Development
1_14 J Robinson;Balakrishna R Iyer ; Daniel M Dias ; Philip S Yu>Design and Analysis of Integrated Concurrency-Coherence Controls >VLDB Very Large Data Bases
1_30 J Robinson;P Franaszek >On variable scope of parity protection in disk arrays >IEEE Trans Computers
1_15 J Robinson;Balakrishna R Iyer ; Daniel M Dias ; Douglas Cornell ; Philip S Yu>Distributed Concurrency Control Analysis for Data Sharing >Int CMG Computer Measurement Group Conference
1_31 J Robinson;P Franaszek >On internal organization in compressed random access memories >IBM Journal of Res Develop
2_12 J Robinson; >Invited editorial >TPLP Theory and Practice of Logic Programming
2_13 J Robinson; Norman M Martin>Meeting of the Association for Symbolic Logic >J Symb Log
2_14 J Robinson; >Is Logic Programming Enough?>DS Discovery Science
2_15 J Robinson; >Logic, Computers, Turing, and von Neumann >Machine Intelligence
2_16 J Robinson; >The Role of Logic in Computer Science and Artificial Intelligence >FGCS Fifth Generation Computer Systems
2_17 J Robinson; >New directions in mechanical theorem proving >IFIP International Federation for Information Processing Congress
2_18 J Robinson; >The Future of Logic Programming Invited Paper >IFIP International Federation for Information Processing Congress
2_19 J Robinson; Jonas Barklund>Vesper >Machine Intelligence
2_20 J Robinson; >Informal Rigor and Mathematical Understanding >Kurt G ouml del Colloquium
2_1 J Robinson; >Computational Logic: Memories of the Past and Challenges for the Future >Computational Logic
2_2 J Robinson; >Proof = Guarantee + Explanation >Intellectics and Computational Logic
2_3 J Robinson; >Formal and Informal Proofs >Automated Reasoning Essays Honor of Woody Bledsoe
2_4 J Robinson; >Merging Functional with Relational Programming in a Reduction Setting Abstract of an Invited Lecture >LICS Logic Computer Science
2_5 J Robinson; Andrei Voronkov>Preface >Handbook of Automated Reasoning
2_6 J Robinson; >Editors Introduction ","J Log Program","1","1_9 J Robinson;Murthy V Devarakonda<","28"
"29","J Robinson; ","Introduction: th Birthday Special Issue of The Journal of Logic Programming ","J Log Program","2","2_7 J Robinson; <","29"
"30","J Robinson; ","Logic Programming - Past, Present and Future ","New Generation Comput","2","2_8 J Robinson; <","30"
"31","J Robinson; ","Logic and Logic Programming ","Commun ACM","2","2_9 J Robinson; <","31"
"32","J Robinson; ","Theorem-Proving on the Computer ","J ACM","2","2_10 J Robinson; <","32"
"33","J Robinson; ","A Machine-Oriented Logic Based on the Resolution Principle ","J ACM","2","2_11 J Robinson; <","33"
"34","J Robinson;Geetani Edirisooriya ; Samantha Edirisooriya","On the Performance of Augmented Signature Testing ","ISCAS IEEE International Symposium Circuits and Systems","3","3_10 J Robinson;Geetani Edirisooriya ; Samantha Edirisooriya<","34"
