,X,Coauthor,Paper,Journal,AuthorID,PaperNO,PaperID,Author
1,1,AnVLe JohnDWilkins StephenMMatyas,Design of the Commercial Data Masking Facility Data Privacy Algorithm ,ACM Conference Computer and Communications Security,10,1,1,DJohnson
2,2,AnVLe JohnDWilkins StephenMMatyas,A Public Key Extension to the Common Cryptographic Architecture ,IBM Systems Journal,10,2,2,DJohnson
3,3,GeorgeMDolan,Transaction Security System Extensions to the Common Cryptographic Architecture ,IBM Systems Journal,10,3,3,DJohnson
4,4,AnVLe GeorgeMDolan MichaelJKelly StephenMMatyas,Common Cryptographic Architecture Cryptographic Application Programming Interface ,IBM Systems Journal,10,4,4,DJohnson
5,5,DavidJLilja JohnRiedl,A Distributed Hardware Mechanism for Process Synchronization on Shared-Bus Multiprocessors ,ICPP International Conference Parallel Processing,11,1,5,DJohnson
6,6,DavidJLilja JohnRiedl,A Circulating Active Barrier Synchronization Mechanism ,ICPP International Conference Parallel Processing,11,2,6,DJohnson
7,7,DavidJLilja JamesAnderson JohnRiedl,"Low-Cost, High-Performance Barrier Synchronization on Networks of Workstations ",J Parallel Distrib Comput,11,3,7,DJohnson
8,8,DanielRLBrown,Formal Security Proofs for a Signature Scheme with Partial Message Recovery ,RSA,12,1,8,DJohnson
9,9,,AES and Future Resiliency: More Thoughts and Questions ,AES Candidate Conference,12,2,9,DJohnson
10,10,BrianKingsbury JamesBeck JohnWawrzynek KrsteAsanovic NelsonMorgan,SPERT-II: A Vector Microprocessor System and its Application to Large Problems in Backpropagation Training ,NIPS Neural Information Processing Systems,13,1,10,DJohnson
11,11,BrianKingsbury JamesBeck JohnWawrzynek KrsteAsanovic NelsonMorgan,Spert-II: A Vector Microprocessor System ,IEEE Computer,13,2,11,DJohnson
12,12,,Trap Architectures for Lisp Systems ,LISP and Functional Programming,14,1,12,DJohnson
13,13,,The Case for a Read Barrier ,ASPLOS Architectural Support for Programming Languages and Operating Systems,14,2,13,DJohnson
14,14,CharlesBerman JamesCoplien JohnDaniels KennethSRubin LauraHill,Managing Object Oriented Projects - Panel Session ,OOPSLA Conference Object Oriented Programming Systems Languages and Applications,15,1,14,DJohnson
15,15,CharlesBerman JamesCoplien JohnDaniels KennethSRubin LauraHill,Object-oriented project management panel ,OOPS Messenger,15,2,15,DJohnson
16,16,,"Network Design,",J Algorithms,1,16,16,DJohnson
17,17,,"Interactive Proof Systems for Fun and Profit,",J Algorithms,1,17,17,DJohnson
18,18,,"Updates, Updates, Updates,",J Algorithms,1,18,18,DJohnson
19,19,,Approximation Algorithms for Combinatorial Problems,STOC ACM Symposium Theory of Computing,1,19,19,DJohnson
20,20,DSJohnson JKLenstra AHGRinnooyKan,"The Complexity of the Network Design Problem,",Networks,1,140,20,DJohnson
21,21,DSJohnson FPPreparata,"The Densest Hemisphere Problem,",Theoretical Comp Sci,1,141,21,DJohnson
22,22,DSJohnson,"The Genealogy of Theoretical Computer Science,",SIGACT News,1,142,22,DJohnson
23,23,DSJohnson MMinkoff  SPhillips,"The Prize Collecting Steiner Tree Problem: Theory and Practice,",Proc th Ann ACM SIAM Society for Industrial and Applied Mathematics Symp Discrete Algorithms,1,143,23,DJohnson
24,24,DSJohnson LAMcGeoch,"The Traveling Salesman Problem: A Case Study in Local Optimization,",Local Search Combinatorial Optimization E H L Aarts and J K Lenstra editors John Wiley and Sons Ltd,1,144,24,DJohnson
25,25,DSJohnson AKlug,"Testing Containment of Conjunctive Queries under Functional and Inclusion Dependencies,",Journal of Computer and Systems Sciences,1,145,25,DJohnson
26,26,MRGarey,Scheduling Tasks with Nonuniform Deadlines on Two Processors ,J ACM,1,90,26,DJohnson
27,27,DSJohnson,"A Theoretician's Guide to the Experimental Analysis of Algorithms,", Proceedings of the th and th DIMACS Implementation Challenges M Goldwasser D S Johnson and C C McGeoch Editors American Mathematical Society,1,146,27,DJohnson
28,28,MRGarey RLGraham DSJohnson,"Some NP-Complete Geometric Problems,",Proc th Annual ACM Symp Theory of Computing,1,91,28,DJohnson
29,29,ClaireKenyon J aacute nosCsirik,Better approximation algorithms for bin covering ,SODA Symposium Discrete Algorithms,1,147,29,DJohnson
30,30,MRGarey DSJohnson LStockmeyer,"Some Simplified NP-Complete Graph Problems,",Theoretical Comp Sci,1,92,30,DJohnson
31,31,ClaireKenyon J aacute nosCsirik JamesBOrlin PeterWShor RichardRWeber,On the sum-of-squares algorithm for bin packing ,STOC ACM Symposium Theory of Computing,1,148,31,DJohnson
32,32,MRGarey,"``Strong'' NP-Completeness Results: Motivation, Examples, and Implications ",J ACM,1,93,32,DJohnson
33,33,ClaireKenyon J aacute nosCsirik PeterWShor RichardRWeber,A Self Organizing Bin Packing Heuristic ,ALENEX Algorithm Engineering and Experiments,1,149,33,DJohnson
34,34,MRGarey DSJohnson GLMiller CHPapadimitriou,"The Complexity of Coloring Circular Arcs and Chords,",SIAM Society for Industrial and Applied Mathematics J Algebraic and Discrete Methods,1,94,34,DJohnson
35,35,MRGarey RLGraham DSJohnson,"The Complexity of Computing Steiner Minimal Trees,",SIAM Society for Industrial and Applied Mathematics J Appl Math,1,95,35,DJohnson
36,36,MRGarey DSJohnson RSethi,"The Complexity of Flowshop and Jobshop Scheduling,",Math of Oper Research,1,96,36,DJohnson
37,37,MRGarey,The Complexity of Near-Optimal Graph Coloring ,J ACM,1,97,37,DJohnson
38,38,MRGarey DSJohnson HSWitsenhausen,"The Complexity of the Generalized Lloyd-Max Problem,",IEEE Trans Information Theory IT,1,98,38,DJohnson
