,X,Coauthor,Paper,Journal,AuthorID,PaperNO,PaperID,Author
1,1,,Discourse: Codes and Clues in Contexts ,ACL Meeting of the Association for Computational Linguistics,10,1,1,JRobinson
2,2,,DIAGRAM: A Grammar for Dialogues ,Cooperative Interfaces to Information Systems,10,2,2,JRobinson
3,3,,DIAGRAM: A Grammar for Dialogues ,Commun ACM,10,3,3,JRobinson
4,4,ABurns,A Dialogue Development System for the Design and Implementation of User Interfaces in Ada ,Comput J,11,1,4,JRobinson
5,5,ABurns,ADDS - A Dialogue Development System for the Ada Programming Language ,International Journal of Man Machine Studies,11,2,5,JRobinson
6,6,,Software Engineering Curriculum Development Model ,CSEE,12,1,6,JRobinson
7,7,WilliamABralick,Using a Multi-User Dialogue System to Support Software Engineering Distance Education ,CSEE,12,2,7,JRobinson
8,8,HTKung,On optimistic methods for concurrency control ,ACM Trans Database Systems,1,32,8,JRobinson
9,9,BalakrishnaRIyer DanielMDias DouglasWCornell PhilipSYu,Modelling of Centralized Concurrency Control in a Multi-System Environment ,SIGMETRICS Measurement and Modeling of Computer Systems,1,16,9,JRobinson
10,10,DDias BIyer  PYu,Integrated concurrency-coherency controls for multi-system data sharing ,IEEE Trans Soft Eng,1,33,10,JRobinson
11,11,BalakrishnaRIyer DanielMDias PhilipSYu,Integrated Concurrency-Coherency Controls for Multisystem Data Sharing ,IEEE Trans Software Eng,1,17,11,JRobinson
12,12,VCastelli LBergman IKontoyiannis C SLi  JTurek,Progressive search and retrieval in large image archives ,IBM Journal of Res Develop,1,34,12,JRobinson
13,13,HTKung,On Optimistic Methods for Concurrency Control ,VLDB Very Large Data Bases,1,18,13,JRobinson
14,14,PHeidelberger ANorton,Parallel quicksort using fetch-and-add ,IEEE Trans Computers,1,35,14,JRobinson
15,15,HTKung,On Optimistic Methods for Concurrency Control ,ACM Trans Database Syst,1,19,15,JRobinson
16,16,JRobinson,Some analysis techniques for asynchronous multiprocessor algorithms ,IEEE Trans Soft Eng SE,1,36,16,JRobinson
17,17,JRobinson,Separating policy from correctness in concurrency control design ,Software Practice and Experience,1,37,17,JRobinson
18,18,CharlesOSchulz MichaelEWazlowski PMauriceBland PeterAFranaszek RBrettTremaine TBasilSmith,IBM Memory Expansion Technology MXT ,IBM Journal of Research and Development,1,38,18,JRobinson
19,19,JoyThomas PeterAFranaszek,Parallel Compression with Cooperative Dictionary Construction ,Data Compression Conference,1,39,19,JRobinson
20,20,,A Fast General-Purpose Hardware Synchronisation Mechanism ,SIGMOD International Conference Management of Data Conference,1,1,20,JRobinson
21,21,,Analysis of Steady-State Segment Storage Utilizations in a Log-Structured File System with Least-Utilized Segment Cleaning ,Operating Systems Review,1,2,21,JRobinson
22,22,,Order Preserving Linear Hashing Using Dynamic Key Statistics ,PODS Symposium Principles of Database Systems,1,3,22,JRobinson
23,23,,Some Analysis Techniques for Asynchronous Multiprocessor Algorithms ,IEEE Trans Software Eng,1,4,23,JRobinson
24,24,,Separating Policy from Correctness in Concurrency Control Design ,Softw Pract Exper,1,5,24,JRobinson
25,25,,The K-D-B-Tree: A Search Structure For Large Multidimensional Dynamic Indexes ,SIGMOD International Conference Management of Data Conference,1,6,25,JRobinson
26,26,CarolineBenveniste PeterAFranaszek,Cache-Memory Interfaces in Compressed Memory Systems ,IEEE Trans Computers,1,7,26,JRobinson
27,27,MurthyVDevarakonda,Data Cache Management Using Frequency-Based Replacement ,SIGMETRICS Measurement and Modeling of Computer Systems,1,8,27,JRobinson
28,28,MurthyVDevarakonda,Note on a Problem with Reed and Long's FBR Results ,Operating Systems Review,1,9,28,JRobinson
29,29,AnilNigam HenryFKorth RaviKrishnamurthy,A Framework for Understanding Distributed Deadlock Detection Algorithms ,PODS Symposium Principles of Database Systems,1,20,29,JRobinson
30,30,AlanNorton PhilipHeidelberger,Parallel Quicksort Using Fetch-and-Add ,IEEE Trans Computers,1,21,30,JRobinson
31,31,DanEPoff PeterAFranaszek PhilipHeidelberger,Alogrithms and data structures for compressed-memory machines ,IBM Journal of Research and Development,1,22,31,JRobinson
32,32,RBTremaine PAFranaszek COSchulz TBSmith MEWazlowski  PMBland,IBM Memory Expansion Technology MXT ,IBM Journal of Res Develop,1,23,32,JRobinson
33,33,AlexanderThomasian PeterAFranaszek,Access Invariance and Its Use in High Contention Environments ,ICDE International Conference Data Engineering,1,40,33,JRobinson
34,34,CBenveniste PFranaszek,Cache-memory interfaces in compressed memory systems ,IEEE Trans Computers,1,24,34,JRobinson
35,35,AlexanderThomasian PeterAFranaszek,Concurrency Control for High Contention Environments ,ACM Trans Database Syst,1,41,35,JRobinson
36,36,PFranaszek AThomasian,Concurrency control for high contention environments ,ACM Trans Database Systems,1,25,36,JRobinson
37,37,AlexanderThomasian JayantRHaritsa PeterAFranaszek,Distributed Concurrency Control Based on Limited Wait-Depth ,IEEE Trans Parallel Distrib Syst,1,42,37,JRobinson
