,Coauthor,Paper,Journal,AuthorID,PaperNO,PaperID,Author
1,Yu-Chin Hsu;Bassam Tabbara;Yirng-An Chen;Furshing Tsai, Advanced Techniques for RTL Debugging , th Design Automation Conference,10,20,1,YChen
2,Chien-Pang Lu;Wen-Chien Liu;Yirng-An Chen, High Probability High Density State Traversal , IEEE th International Workshop Logic Synthesis,10,21,2,YChen
3,Y Chen;Bassam Tabbara ; Furshing Tsai ; Yu-Chin Hsu,Advanced techniques for RTL debugging ,DAC Design Automation Conference,10,22,3,YChen
4,Y Chen;Bwolen Yang ; David R O'Hallaron ; Randal E Bryant,Space- and Time-Efficient BDD Construction via Working Set Control ,ASP DAC Design Automation Conference,10,23,4,YChen
5,Y Chen;Randal E Bryant,ACV: an arithmetic circuit verifier ,ICCAD International Conference Computer Aided Design,10,1,5,YChen
6,Randal E Bryant;Yirng-An Chen, Verification of Arithmetic Circuits Binary Moment Diagrams , Design Automation Conference,10,2,6,YChen
7,Y Chen;Randal E Bryant,Verification of Arithmetic Circuits with Binary Moment Diagrams ,DAC Design Automation Conference,10,3,7,YChen
8,Yirng-An Chen;Randal E Bryant, Verification of Floating Point Adders , Proceeding of th International Conference of Computer Aided Verification,10,10,8,YChen
9,Randal E Bryant;Yirng-An Chen," Verification of Arithmetic Circuits Using Binary Moment Diagrams, ", International Journal Software Tools for Technology Transfer,10,4,9,YChen
10,Yirng-An Chen ;P -H Ho; E Clark;T Kam; Y Hoskote;J O'Leary; M Khaira, Verification of all circuits in a floating-point unit using word-level model checking , Proceedings of Formal Methods Computer Aid Design,10,11,10,YChen
11,Randal E Bryant;Yirng-An Chen, Verification of Arithmetic Functions Binary Moment Diagrams , Tech Report CMU CS School of Computer Science Carnegie Mellon University,10,5,11,YChen
12,Yirng-An Chen;Fang-Sung Chen, Algorithms for Compacting Error Traces , Proceeding of Asian Pacific Design Automation Conference ASPDAC,10,12,12,YChen
13,Y Chen;Randal E Bryant,PHDD: an efficient graph representation for floating point circuit verification ,ICCAD International Conference Computer Aided Design,10,6,13,YChen
14,Jiunn-Chern Chen;Yirng-An Chen, Equivalence Checking of Integer Multipliers , Proceeding of Asian Pacific Design Automation Conference ASPDAC,10,13,14,YChen
15,Y Chen;Long-Wen Chang ; Youn-Long Lin,A Systolic Algorithm for the k-Nearest Neighbors Problem ,IEEE Trans Computers,10,7,15,YChen
16,Yirng-An Chen;Randal E Bryant, An Efficient Graph Representation for Arithmetic Circuit Verification , IEEE Transactions Computer Aided Design of Integrated Circuits and Systems,10,14,16,YChen
17,Yirng-An Chen;Bwolen Yang;Randal E Bryant, Breadth-First Depth-First BDD Construction: A Hybrid Approach , Tech Report CMU CS School of Computer Science Carnegie Mellon University,10,8,17,YChen
18,Yirng-An Chen;Young-Long Lin,"A New Global Router for ASIC Design Based on Simulated Evolution,",Proceedings of International Symposium VLSI Very Large Scale Integration Technology Systems and Applications,10,15,18,YChen
19,Yirng-An Chen;Randal E Bryant, ACV: An Arithmetic Circuit Verifier , Proceedings of International Conference of Computer Aid Design,10,9,19,YChen
