"","Coauthor","Paper","Journal","AuthorID","PaperNO","PaperID"
"1","A Kumar;","G-Tree: A New Data Structure for Organizing Multidimensional Data ","IEEE Trans Knowl Data Eng","1","1","1"
"2","C Chen;","Behavioural Patterns of Collaborative Writing with Hypertext - A State Transition Approach ","BCS British Computer Society HCI Human Computer Interaction","1","1","2"
"3","D Johnson;","Communicating Processes,","J Algorithms","1","1","3"
"4","J Lee;Chi Kan Cheng ; Peter J Stuckey","Box Constraint Collections for Adhoc Constraints ","CP Principles and Practice of Constraint Programming","1","1","4"
"5","J Martin; ","What does faculty really want from information technology?","SIGUCCS Special Interest Group University and Computing Services","1","1","5"
"6","J Robinson;","A Fast General-Purpose Hardware Synchronisation Mechanism ","SIGMOD International Conference Management of Data Conference","1","1","6"
"7","J Smith;","Characterizing Computer Performance with a Single Number ","Commun ACM","1","1","7"
"8","K Tanaka;","Advanced Applications and Future Research Issues of OODBs ","DASFAA Database Systems for Advanced Applications","1","1","8"
"9","M Baca;Y Lin;M Miller;M Z Youssef","Edge-antimagic graphs","Discrete Mathematics","1","1","9"
"10","M Brown; John Hershberger","Color and Sound in Algorithm Animation ","VL Visual Languages","1","1","10"
"11","M Jones;","Computing with Lattices: An Application of Type Classes ","Journal of Functional Programming","1","1","11"
"12","S Lee;"," Translation-, Rotation-, and Scale- Invariant Recognition of Hand-Drawn Electrical Circuit Symbols Attributed Graph Matching, ","Proc SSPR Workshop Hill","1","1","12"
"13","Y Chen;Karl Aberer","Combining Pat-Trees and Signature Files for Query Evaluation in Document Databases ","DEXA Database and Expert Systems Applications","1","1","13"
"14","A Kumar;","Techniques for Indexing Large Numbers of Constraints and Rules in a Database System ","DEXA Database and Expert Systems Applications","1","10","14"
"15","C Chen;","Aesthetics versus Functionality ","Information Visualization","1","10","15"
"16","D Johnson;","Graph Restrictions and Their Effect,","J Algorithms","1","10","16"
"17","J Lee;C K Chiu;J H M Lee","Efficient Interval Linear Equality Solving in Constraint Logic Programming pages ,","Department of Computer Science and Engineering The Chinese University of Hong Kong for publication to Reliable Computing","1","10","17"
"18","J Martin; ","Seamless Integration of Client Server Applications - Conclusion or How Many SIGUCCS Papers Can You Get From One Project?","SIGUCCS Special Interest Group University and Computing Services","1","10","18"
"19","J Robinson;Peter A Franaszek","Limitations of Concurrency in Transaction Processing ","ACM Trans Database Syst","1","10","19"
"20","J Smith;","Instruction Level Distributed Processing ","HiPC","1","10","20"
"21","M Baca;M Miller;J Ryan","On d-antimagic labelings of prisms and antiprisms,","Proceedings of AWOCA Bandung Indonesia","1","10","21"
"22","M Brown; Robert A Shillner","A new paradigm for browsing the web ","CHI Conference Human Factors Computing Systems Conference Companion","1","10","22"
"23","M Jones;","Simplifying and Improving Qualified Types ","FPCA Functional Programming Languages and Computer Architecture","1","10","23"
"24","S Ginsburg;K Tanaka","Computation-tuple Sequences and Object Histories,","ACM Trans Database Systems","1","10","24"
"25","S Lee;Hyeran Byun ; Seonghoon Kang","Real-Time Pedestrian Detection Using Support Vector Machines ","SVM Support Vector Machine","1","10","25"
"26","Y Chen;Wolfgang Benn","On the Query Treatment in Federated Systems ","DEXA Database and Expert Systems Applications","1","10","26"
"27","D Johnson;M R Garey","The Rectilinear Steiner Tree Problem in NP Complete ","SIAM Society for Industrial and Applied Mathematics Journal of Applied Mathematics","1","100","27"
"28","K Tanaka;Shuzo Yajima ; Yahiko Kambayashi","A Relational Data Language with Simplified Binary Relation Handling Capability ","VLDB Very Large Data Bases","1","100","28"
