,Coauthor,Paper,Journal,AuthorID,PaperNO,PaperID,Author
1,M Brown; Jianying Hu ; William Turin,Invariant Features for HMM Based On-Line Handwriting Recognition ,ICIAP,10,1,1,MBrown
2,M Brown; Amy S Rosenthal ; Jianying Hu,Combining High-Level Features with Sequential Local Features for On-Line Handwriting Recognition ,ICIAP,10,2,2,MBrown
3,M Brown; Jianying Hu ; William Turin,HMM Based On-Line Handwriting Recognition ,IEEE Transactions Pattern Analysis and Machine Intelligence,10,3,3,MBrown
4,M Brown;Mary D Brown; Jared Stark; Yale N Patt,"Select-Free Instruction Scheduling Logic,",Proceedings of the th ACM IEEE International Symposium Microarchitecture MICRO International Symposium Microarchitecture talk slides,11,1,4,MBrown
5,M Brown;Mary D Brown ; Yale N Patt,"Using Internal Redundant Representations and Limited Bypass to Support Pipelined Adders and Register Files,", the Proceedings of the th IEEE International Symposium High Performance Computer Architecture HPCA International Symposium High Performance Computer Architecture talk slides,11,2,5,MBrown
6,M Brown;Yale N Patt,Using Internal Redundant Representations and Limited Bypass to Support Pipelined Adders and Register Files ,HPCA International Symposium High Performance Computer Architecture,11,3,6,MBrown
7,M Brown;Jared Stark; Mary D Brown; Yale N Patt,"On Pipelining Dynamic Instruction Scheduling Logic,",Proceedings of the rd ACM IEEE International Symposium Microarchitecture MICRO International Symposium Microarchitecture,11,4,7,MBrown
8,M Brown;Jared Stark ; Yale N Patt,Select-free instruction scheduling logic ,MICRO International Symposium Microarchitecture,11,5,8,MBrown
9,M Brown;,Selecting Semantics for Use with Semantic Pruning of Linear Deductions ,Australian Joint Conference Artificial Intelligence,12,1,9,MBrown
10,M Brown ; G Sutcliffe ,PTTP+GLiDeS: Guiding Linear Deductions with Semantics ,N Foo editor Advanced Topics Artificial Intelligence th Australian Joint Conference Artificial Intelligence AI Artificial Intelligence Sydney number Lecture Notes Artificial Intelligence pages Springer Verlag Heidelberg,12,2,10,MBrown
