,Coauthor,Paper,Journal,AuthorID,PaperNO,PaperID,Author
578,A Kumar; Ahmed Hemani ; Johnny &Ouml;berg,Grammar-Based Hardware Synthesis of Data Communication Protocols ,ISSS International Symposium Systems Synthesis,10,1,578,AKumar
579,A Kumar; Ahmed Hemani ; Johnny &Ouml;berg,Specification of Exception Handling in Grammar-Based Hardware Synthesis ,EUROMICRO,10,2,579,AKumar
580,A Kumar; Ahmed Hemani ; Johnny &Ouml;berg,Scheduling of Outputs in Grammar-based Hardware Synthesis of Data Communication Protocols ,DATE Design Automation and Test Europe,10,3,580,AKumar
581,A Kumar; Kei-Hoi Cheung ; Michael Snyder ; Nick P Tosches ; Perry Miller ; Peter Masiar ; Yang Liu,The TRIPLES database: a community resource for yeast molecular biology ,Nucleic Acids Research,11,1,581,AKumar
582,A Kumar; Kei-Hoi Cheung ; Michael Snyder ; Paulo S R Coelho ; Perry Miller ; Petra Ross-Macdonald,TRIPLES: a database of gene function in Saccharomyces cerevisiae ,Nucleic Acids Research,11,2,582,AKumar
583,A Kumar; Kei-Hoi Cheung ; Mark Gerstein ; Michael Snyder ; Perry L Miller ; Yang Liu,An XML Application For Genomic Data Interoperation ,BIBE IEEE International Conference Bioinformatics and Bioengineering,11,3,583,AKumar
584,A Kumar; Vishv M Malhotra,A Look-Ahead Interpreter for Sequential Prolog and Its Implementation ,FSTTCS Foundations of Software Technology and Theoretical Computer Science,12,1,584,AKumar
585,A Kumar; ,A New Computation Rule for Prolog ,Inf Process Lett,12,2,585,AKumar
586,A Kumar; Manish Kumar Shukla ; P C Mishra ; S K Mishra,An ab initio study of excited states of guanine in the gas phase and aqueous media: Electronic transitions and mechanism of spectral oscillations ,Journal of Computational Chemistry,13,1,586,AKumar
587,A Kumar; David J Craik ; George C Levy,MOLDYN: a generalized program for the evaluation of molecular dynamics models using nuclear magnetic resonance spin-relaxation data ,Journal of Chemical Information and Computer Sciences,13,2,587,AKumar
588,A Kumar; Abhay Chrungoo ; Johara Shahabuddin ; Sandeep Juneja ; Sanjiv Kapoor ; Vishu Gupta,Stream-Packing: Resource Allocation in Web Server Farms with a QoS Guarantee ,HiPC,14,1,588,AKumar
589,A Kumar; Neeran M Karnik ; Vikas Agarwal,Metering and Accounting for Composite e-Services ,CEC,14,2,589,AKumar
590,N Adly; A Kumar;,"HPP: A Hierarchical Propagation Protocol for Large Scale Replication in Wide Area Networks,",Seventh International Conference Computing and Information Peterborough,1,16,590,AKumar
591,A Kumar;Noha Adly,HPP: A Reliable Causal Broadcast Protocol for Large-Scale Replication ,Comput J,1,17,591,AKumar
592,A Kumar; T Camp,"A New Matching Algorithm for Managing Location Information in Mobile Computing,",Proceedings of the th IEEE International Conference Performance Computing and Communications IPCCC International Performance Computing and Communications Conference,1,50,592,AKumar
593,A Basu ; A Kumar,"Research Commentary: Workflow Management Systems in e-Business,",Information Systems Research,1,18,593,AKumar
594,A Kumar,"A New Approach for Conflict Resolution and Rule Processing in a Knowledge-Based System,",Proceedings of the Eleventh International Conference Information Systems Copenhagen,1,51,594,AKumar
595,A Kumar;Shun Yan Cheung,Efficient Quorumcast Routing Algorithms ,INFOCOM The Conference Computer Communications,1,19,595,AKumar
596,A Kumar;,"New Techniques for data reduction in database systems for knowledge discovery applications,",Journal of Intelligent Information Systems,1,52,596,AKumar
597,A Kumar; L Zhao,"Workflow Support for Electronic Commerce Applications,",Decision Support Systems,1,53,597,AKumar
598,A Kumar,"Zigzag Path-Based Matching Algorithms for High Availability and Load Balancing,", manuscript,1,54,598,AKumar
599,A Kumar; M Stonebraker,"Performance Considerations for an Operating System Transaction Manager,",IEEE Transactions Software Engineering,1,55,599,AKumar
600,A Kumar; M Stonebraker,"Performance Evaluation of an Operating System Transaction Manager,",Proceedings of the Thirteenth International VLDB Very Large Data Bases Very Large Databases Conference U K,1,56,600,AKumar
601,A Kumar,"Performance Analysis of a Hierarchical Quorum Consensus Algorithm for Replicated Objects,",Proceedings of the Tenth IEEE International Conference Distributed Computing Systems,1,57,601,AKumar
602,A Kumar;J Leon Zhao,"Data Management Issues for Large Scale, Distributed Workflow Systems on the Internet ",DATA BASE,1,90,602,AKumar
603,A Kumar; M Rabinovich; R Sinha,"A Performance Study of General Grid Structures for Replicated Data,",IEEE International Conference Distributed Computing Systems,1,58,603,AKumar
604,L Zhao; A Kumar; E Stohr,"A Dynamic Grouping Technique for Distributing Codified- Knowledge in Large Organizations,",Workshop Information Technology and Systems WITS Workshop Information Technologies and Systems Sydney,1,91,604,AKumar
605,A Kumar; M Stonebraker,"Operating System Support for Data Management,",IEEE Data Engineering,1,59,605,AKumar
606,A Kumar;J Leon Zhao,A Framework for Dynamic Routing and Operational Integrity Controls in a Workflow Management System ,HICSS INTERNATIONAL CONFERENCE SYSTEM SCIENCES,1,92,606,AKumar
607,L Zhao; A Kumar; E A Stohr,"Workflow-centric Information Distribution through Email,",Journal of Management Information Systems Winter,1,93,607,AKumar
608,L Zhao; A Kumar; E Stohr,"A Workflow-centric Study of Organizational Knowledge Distribution,", rd International Conference Systems Sciences,1,94,608,AKumar
