,Coauthor,Paper,Journal,AuthorID,PaperNO,PaperID,Author
1,D Johnson; An V Le ; John D Wilkins ; Stephen M Matyas,Design of the Commercial Data Masking Facility Data Privacy Algorithm ,ACM Conference Computer and Communications Security,10,1,1,DJohnson
2,D Johnson; An V Le ; John D Wilkins ; Stephen M Matyas,A Public Key Extension to the Common Cryptographic Architecture ,IBM Systems Journal,10,2,2,DJohnson
3,D Johnson; George M Dolan,Transaction Security System Extensions to the Common Cryptographic Architecture ,IBM Systems Journal,10,3,3,DJohnson
4,D Johnson; An V Le ; George M Dolan ; Michael J Kelly ; Stephen M Matyas,Common Cryptographic Architecture Cryptographic Application Programming Interface ,IBM Systems Journal,10,4,4,DJohnson
5,D Johnson; David J Lilja ; John Riedl,A Distributed Hardware Mechanism for Process Synchronization on Shared-Bus Multiprocessors ,ICPP International Conference Parallel Processing,11,1,5,DJohnson
6,D Johnson; David J Lilja ; John Riedl,A Circulating Active Barrier Synchronization Mechanism ,ICPP International Conference Parallel Processing,11,2,6,DJohnson
7,D Johnson; David J Lilja ; James Anderson ; John Riedl,"Low-Cost, High-Performance Barrier Synchronization on Networks of Workstations ",J Parallel Distrib Comput,11,3,7,DJohnson
8,D Johnson; Daniel R L Brown,Formal Security Proofs for a Signature Scheme with Partial Message Recovery ,RSA,12,1,8,DJohnson
9,D Johnson; ,AES and Future Resiliency: More Thoughts and Questions ,AES Candidate Conference,12,2,9,DJohnson
10,D Johnson; Brian Kingsbury ; James Beck ; John Wawrzynek ; Krste Asanovic ; Nelson Morgan,SPERT-II: A Vector Microprocessor System and its Application to Large Problems in Backpropagation Training ,NIPS Neural Information Processing Systems,13,1,10,DJohnson
11,D Johnson; Brian Kingsbury ; James Beck ; John Wawrzynek ; Krste Asanovic ; Nelson Morgan,Spert-II: A Vector Microprocessor System ,IEEE Computer,13,2,11,DJohnson
12,D Johnson; ,Trap Architectures for Lisp Systems ,LISP and Functional Programming,14,1,12,DJohnson
