,Coauthor,Paper,Journal,AuthorID,PaperNO,PaperID,Author
1,C Chen; David Chenho Kung ; Jerry Gao ; Pei Hsia ; Yasufumi Toyoshima,Object-Oriented Software Testing: Some Research and Development ,HASE,10,1,1,CChen
2,C Chen; David Chenho Kung ; F Wen ; Jerry Gao ; Pei Hsia ; Yasufumi Toyoshima,Change Impact Identification in Object Oriented Software Maintenance ,ICSM International Conference Software Maintenance,10,2,2,CChen
3,C Chen; David Chenho Kung ; Jerry Gao ; Pei Hsia ; Yasufumi Toyoshima,A Test Strategy for Object-Oriented Programs ,COMPSAC International Computer Software and Applications Conference,10,3,3,CChen
4,C Chen; David K Leung ; Jerry Gao ; Yasufumi Toyoshima,Developing an Integrated Testing Environment Using the World Wide Web Technology ,COMPSAC International Computer Software and Applications Conference,10,4,4,CChen
5,C Chen; David Chenho Kung ; Jerry Z Gao ; Pei Hsia ; Yasufumi Toyoshima,Object state testing for object-oriented programs ,COMPSAC International Computer Software and Applications Conference,10,5,5,CChen
6,C Chen; David Chenho Kung ; Jayarajan Samuel ; Jerry Gao ; Pei Hsia ; Yasufumi Toyoshima,Formal Approach to Scenario Analysis ,IEEE Software,10,6,6,CChen
7,C Chen; David Chenho Kung ; Jerry Gao ; Pei Hsia ; Yasufumi Toyoshima,Or Regression Testing of Object-Oriented Programs ,Journal of Systems and Software,10,7,7,CChen
8,C Chen; David Chenho Kung ; Jerry Gao ; Pei Hsia ; Yasufumi Toyoshima ; Young-Kee Song ; Young-Si Kim,Developing an Object-Oriented Software Testing and Maintenance Environment ,Commun ACM,10,8,8,CChen
9,C Chen; David K Leung ; Jerry Gao ; Yasufumi Toyoshima,Engineering on the Internet for Global Software Production ,IEEE Computer,10,9,9,CChen
10,Ting-Yuan Wang;Jeng-Liang Tsai;Charlie Chung-Ping Chen," Power-Delivery Networks Optimization Thermal Reliability Integrity, ",ACM International Symposium Physical Design ISPD International Symposium Physical Design,11,40,10,CChen
11,Ting-Yuan Wang;Charlie Chung-Ping Chen," Optimization of the Power/Ground Network Wire-Sizing and Spacing Based on Sequential Network Simplex Algorithm, ", rd International Symposium Quality Electronic Design ISQED,11,41,11,CChen
12,Ting-Yuan Wang;Charlie Chung-Ping Chen," SPICE-Compatible Thermal Simulation Lumped Circuit Modeling for Thermal Reliability Analysis based on Model Reduction, ", th International Symposium Quality Electronic Design ISQED,11,42,12,CChen
13,Ting-Yuan Wang;Charlie Chung-Ping Chen," Thermal-ADI: A Linear-Time Chip-Level Dynamic Thermal Simulation Algorithm Based on Alternating-Direction-Implicit ADI Method, ",ACM International Symposium Physical Design ISPD International Symposium Physical Design slide,11,43,13,CChen
14,Ting-Yuan Wang;Charlie Chung-Ping Chen," Thermal-ADI: A Linear-Time Chip-Level Dynamic Thermal Simulation Algorithm Based on Alternating-Direction-Implicit ADI Method, ",IEEE Transaction Very Large Scale Integration Systems TVLSI pp,11,44,14,CChen
15,Ting-Yuan Wang;Jeng-Liang Tsai;Charlie Chung-Ping Chen," Thermal and Power Integrity based Power/Ground Networks Optimization, ",Design Automation and Test Europe Conference and Exhibition DATE Design Automation and Test Europe,11,45,15,CChen
16,Tsung-Hao Chen;Hyoung-Suk Kim;Charlie Chung-Ping Chen, L Extracted? Now What? Introduction to An Inductance-Wise Interconnect Simulation Engine INDUCTWISE , Technical Report University of,11,10,16,CChen
17,Tsung-Hao Chen;Clement Luk;Charlie Chung-Ping Chen," INDUCTWISE: Inductance-Wise Interconnect Simulator and Extractor, ",IEEE Transactions Computer Aided Design of Integrated Circuits and Systems TCAD pp,11,11,17,CChen
18,Tsung-Hao Chen;Clement Luk;Hyungsuk Kim;Charlie Chung-Ping Chen," INDUCTWISE: Inductance-Wise Interconnect Simulator and Extractor, ",IEEE ACM International Conference Computer Aided Design ICCAD International Conference Computer Aided Design,11,12,18,CChen
19,Chung-Ping Chen;N Menezes," Noise-Aware Repeater Insertion and Wire-Sizing for On-chip Interconnect Using Hierarchical Moment-Matching, ",IEEE ACM Design Automation Conference DAC Design Automation Conference,11,13,19,CChen
20,Chung-Ping Chen;Hai Zhou;D F Wong," Optimal Non-Uniform Wire-Sizing under the Elmore Delay Model, ",IEEE ACM International Conference Computer Aided Design ICCAD International Conference Computer Aided Design,11,14,20,CChen
21,Chung-Ping Chen;D F Wong," Optimal Wire-Sizing Function Fringing Capacitance Consideration, ",IEEE ACM Design Automation Conference DAC Design Automation Conference,11,15,21,CChen
22,Chung-Ping Chen;Yao-Ping Chen;D F Wong," Optimal Wire-Sizing Formula under the Elmore Delay Model, ",IEEE ACM Design Automation Conference DAC Design Automation Conference,11,16,22,CChen
23,Chung-Ping Chen;D F Wong," Error-bounded Pade Approximation via Bilinear Conformal Transformation, ",IEEE ACM Design Automation Conference DAC Design Automation Conference,11,17,23,CChen
24,Tsung-Hao Chen;Clement Luk;Charlie Chung-Ping Chen," SuPREME: Substrate and Power-delivery Reluctance-Enhanced Macromodel Evaluation, ",IEEE ACM International Conference Computer Aided Design ICCAD International Conference Computer Aided Design,11,18,24,CChen
25,C Chen;Ed Cheng,Future SoC Design Challenges and Solutions invited ,ISQED,11,19,25,CChen
26,Saisanthosh Balakrishnan;Jong Hyuk Park;Hyungsuk Kim;Yu-Min Lee;Charlie Chung-Ping Chen," Linear Time Hierarchical Capacitance Extraction Without Multipole Expansion, ",International Conference Computer Design ICCD International Conference Computer Design,11,1,26,CChen
27,Yahong Cao;Yu-Min Lee;Tsung-Hao Chen;Charlie Chung-Ping Chen," HiPRIME: Hierarchical and Passivity Reserved Interconnect Macromodeling Engine for RLKC Power Delivery, ",IEEE ACM Design Automation Conference DAC Design Automation Conference,11,2,27,CChen
28,Charlie Chung-Ping Chen;Narayanan Murugesan;Tae-Woo Lee;Susan C Hagness," FDTD-ADI: An Unconditionally Stable Full Wave Maxwell Equation Solver for VLSI Modeling, ",IEEE ACM International Conference Computer Aided Design ICCAD International Conference Computer Aided Design,11,3,28,CChen
